*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D    ES7D    ES8D    
 2016 316     1   5.00  13.60   4.40  0.981  0.000  0.981  0.981  0.000  0.981  0.000  0.000    0.98    0.98    0.00    0.98    0.00    0.00   0.033   0.065   0.098   0.098   0.098   0.195   0.196   0.197
 2016 317     2   4.90  17.90   5.00  1.031  0.000  1.031  1.031  0.000  1.031  0.000  0.000    2.01    2.01    0.00    2.01    0.00    0.00   0.035   0.069   0.103   0.103   0.103   0.204   0.206   0.207
 2016 318     3   4.90  11.20  -1.60  0.866  0.000  0.866  0.866  0.000  0.866  0.000  0.000    2.88    2.88    0.00    2.88    0.00    0.00   0.029   0.058   0.087   0.087   0.087   0.172   0.173   0.173
 2016 319     4   4.80  10.60   0.40  0.859  0.000  0.859  0.859  0.000  0.859  0.000  0.000    3.74    3.74    0.00    3.74    0.00    0.00   0.029   0.058   0.087   0.087   0.086   0.170   0.171   0.171
 2016 320     5   4.80  13.80   3.90  0.939  0.000  0.939  0.939  0.000  0.939  0.000  0.000    4.68    4.68    0.00    4.68    0.00    0.00   0.032   0.063   0.095   0.095   0.095   0.186   0.186   0.187
 2016 321     6   4.70  15.70   2.60  0.934  0.000  0.934  0.934  0.000  0.934  0.000  0.000    5.61    5.61    0.00    5.61    0.00    0.00   0.032   0.063   0.095   0.095   0.094   0.185   0.185   0.185
 2016 322     7   4.70  14.90   1.30  0.910  0.000  0.910  0.910  0.000  0.910  0.000  0.000    6.52    6.52    0.00    6.52    0.00    0.00   0.031   0.062   0.092   0.092   0.092   0.180   0.180   0.180
 2016 323     8   4.60  15.60   8.40  0.966  0.000  0.966  0.966  0.000  0.966  0.000  0.000    7.49    7.49    0.00    7.49    0.00    0.00   0.033   0.066   0.098   0.098   0.098   0.191   0.191   0.191
 2016 324     9   4.60  22.90  12.60  1.107  0.000  1.107  1.107  0.000  1.107  0.000  0.000    8.59    8.59    0.00    8.59    0.00    0.00   0.038   0.075   0.113   0.113   0.113   0.219   0.218   0.218
 2016 325    10   4.50  18.70   1.30  0.923  0.000  0.923  0.923  0.000  0.923  0.000  0.000    9.52    9.52    0.00    9.52    0.00    0.00   0.032   0.063   0.094   0.094   0.094   0.183   0.182   0.181
 2016 326    11   4.50   2.00  -5.90  0.301  0.000  0.301  0.301  0.000  0.301  0.000  0.000    9.82    9.82    0.00    9.82    0.00    0.00   0.010   0.021   0.031   0.031   0.031   0.060   0.059   0.059
 2016 327    12   4.50   0.80  -7.50  0.231  0.000  0.231  0.231  0.000  0.231  0.000  0.000   10.05   10.05    0.00   10.05    0.00    0.00   0.008   0.016   0.024   0.024   0.024   0.046   0.045   0.045
 2016 328    13   4.40   4.50  -3.00  0.505  0.000  0.505  0.505  0.000  0.505  0.000  0.000   10.55   10.55    0.00   10.55    0.00    0.00   0.018   0.035   0.052   0.052   0.052   0.100   0.099   0.099
 2016 329    14   4.40   3.80   1.40  0.465  0.000  0.465  0.465  0.000  0.465  0.000  0.000   11.02   11.02    0.00   11.02    0.00    0.00   0.021   0.032   0.047   0.047   0.047   0.091   0.090   0.090
 2016 330    15   4.40   6.50   1.80  0.758  0.000  0.758  0.758  0.000  0.758  0.000  0.000   11.78   11.78    0.00   11.78    0.00    0.00   0.253   0.110   0.092   0.065   0.051   0.077   0.060   0.050
 2016 331    16   4.30   2.70   1.50  0.373  0.000  0.373  0.373  0.000  0.373  0.000  0.000   12.15   12.15    0.00   12.15    0.00    0.00   0.126   0.054   0.045   0.032   0.025   0.038   0.029   0.025
 2016 332    17   4.30   4.20   2.00  0.506  0.000  0.506  0.506  0.000  0.506  0.000  0.000   12.65   12.65    0.00   12.65    0.00    0.00   0.169   0.074   0.061   0.043   0.034   0.051   0.040   0.033
 2016 333    18   4.30   8.30   0.20  0.752  0.000  0.752  0.752  0.000  0.752  0.000  0.000   13.41   13.41    0.00   13.41    0.00    0.00   0.249   0.110   0.092   0.064   0.051   0.076   0.059   0.050
 2016 334    19   4.20   6.30   1.60  0.720  0.000  0.720  0.720  0.000  0.720  0.000  0.000   14.13   14.13    0.00   14.13    0.00    0.00   0.234   0.126   0.084   0.059   0.047   0.070   0.055   0.046
 2016 335    20   4.20  10.00   3.40  0.785  0.000  0.785  0.785  0.000  0.785  0.000  0.000   14.91   14.91    0.00   14.91    0.00    0.00   0.245   0.170   0.090   0.060   0.047   0.071   0.055   0.046
 2016 336    21   4.20  12.00  -0.10  0.781  0.000  0.781  0.781  0.000  0.781  0.000  0.000   15.69   15.69    0.00   15.69    0.00    0.00   0.235   0.180   0.092   0.058   0.046   0.070   0.054   0.045
 2016 337    22   4.20   2.60   1.30  0.356  0.000  0.356  0.356  0.000  0.356  0.000  0.000   16.05   16.05    0.00   16.05    0.00    0.00   0.106   0.082   0.043   0.027   0.021   0.032   0.025   0.021
 2016 338    23   4.10   3.40   1.70  0.409  0.000  0.409  0.409  0.000  0.409  0.000  0.000   16.46   16.46    0.00   16.46    0.00    0.00   0.121   0.093   0.050   0.031   0.024   0.037   0.029   0.024
 2016 339    24   4.10   3.00  -0.80  0.366  0.000  0.366  0.366  0.000  0.366  0.000  0.000   16.82   16.82    0.00   16.82    0.00    0.00   0.108   0.083   0.045   0.028   0.022   0.033   0.026   0.021
 2016 340    25   4.10   2.00  -1.40  0.297  0.000  0.297  0.297  0.000  0.297  0.000  0.000   17.12   17.12    0.00   17.12    0.00    0.00   0.088   0.067   0.037   0.022   0.018   0.027   0.021   0.017
 2016 341    26   4.10   0.60  -1.10  0.226  0.000  0.226  0.226  0.000  0.226  0.000  0.000   17.35   17.35    0.00   17.35    0.00    0.00   0.067   0.050   0.028   0.017   0.013   0.020   0.016   0.013
 2016 342    27   4.00   0.00  -1.60  0.194  0.000  0.194  0.194  0.000  0.194  0.000  0.000   17.54   17.54    0.00   17.54    0.00    0.00   0.058   0.043   0.025   0.015   0.012   0.018   0.014   0.011
