*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2016 315     0   0.000    0.00       0    0.00
 2016 316     1   0.000    0.00       0    0.00
 2016 317     2   0.000    0.00       0    0.00
 2016 318     3   0.000    0.00       0    0.00
 2016 319     4   0.000    0.00       0    0.00
 2016 320     5   0.000    0.00       0    0.00
 2016 321     6   0.000    0.00       0    0.00
 2016 322     7   0.000    0.00       0    0.00
 2016 323     8   0.000    0.00       0    0.00
 2016 324     9   0.000    0.00       0    0.00
 2016 325    10   0.000    0.00       0    0.00
 2016 326    11   0.000    0.00       0    0.00
 2016 327    12   0.000    0.00       0    0.00
 2016 328    13   0.000    0.00       0    0.00
 2016 329    14   0.000    0.00       0    0.00
 2016 330    15   0.000    0.00       0    0.00
 2016 331    16   0.000    0.00       0    0.00
 2016 332    17   0.000    0.00       0    0.00
 2016 333    18   0.000    0.00       0    0.00
 2016 334    19   0.000    0.00       0    0.00
 2016 335    20   0.000    0.00       0    0.00
 2016 336    21   0.000    0.00       0    0.00
 2016 337    22   0.000    0.00       0    0.00
 2016 338    23   0.000    0.00       0    0.00
 2016 339    24   0.000    0.00       0    0.00
 2016 340    25   0.000    0.00       0    0.00
 2016 341    26   0.000    0.00       0    0.00
 2016 342    27   0.000    0.00       0    0.00
 2016 343    28   0.000    0.00       0    0.00
 2016 344    29   0.000    0.00       0    0.00
 2016 345    30   0.000    0.00       0    0.00
 2016 346    31   0.000    0.00       0    0.00
 2016 347    32   0.000    0.00       0    0.00
 2016 348    33   0.000    0.00       0    0.00
 2016 349    34   0.000    0.00       0    0.00
 2016 350    35   0.000    0.00       0    0.00
 2016 351    36   0.000    0.00       0    0.00
 2016 352    37   0.000    0.00       0    0.00
 2016 353    38   0.000    0.00       0    0.00
 2016 354    39   0.000    0.00       0    0.00
 2016 355    40   0.000    0.00       0    0.00
 2016 356    41   0.000    0.00       0    0.00
 2016 357    42   0.000    0.00       0    0.00
 2016 358    43   0.000    0.00       0    0.00
 2016 359    44   0.000    0.00       0    0.00
 2016 360    45   0.000    0.00       0    0.00
 2016 361    46   0.000    0.00       0    0.00
 2016 362    47   0.000    0.00       0    0.00
 2016 363    48   0.000    0.00       0    0.00
 2016 364    49   0.000    0.00       0    0.00
 2016 365    50   0.000    0.00       0    0.00
 2016 366    51   0.000    0.00       0    0.00
 2017 001    52   0.000    0.00       0    0.00
 2017 002    53   0.000    0.00       0    0.00
 2017 003    54   0.000    0.00       0    0.00
 2017 004    55   0.000    0.00       0    0.00
 2017 005    56   0.000    0.00       0    0.00
 2017 006    57   0.000    0.00       0    0.00
 2017 007    58   0.000    0.00       0    0.00
 2017 008    59   0.000    0.00       0    0.00
 2017 009    60   0.000    0.00       0    0.00
 2017 010    61   0.000    0.00       0    0.00
 2017 011    62   0.000    0.00       0    0.00
 2017 012    63   0.000    0.00       0    0.00
 2017 013    64   0.000    0.00       0    0.00
 2017 014    65   0.000    0.00       0    0.00
 2017 015    66   0.000    0.00       0    0.00
 2017 016    67   0.000    0.00       0    0.00
 2017 017    68   0.000    0.00       0    0.00
 2017 018    69   0.000    0.00       0    0.00
 2017 019    70   0.000    0.00       0    0.00
 2017 020    71   0.000    0.00       0    0.00
 2017 021    72   0.000    0.00       0    0.00
 2017 022    73   0.000    0.00       0    0.00
 2017 023    74   0.000    0.00       0    0.00
 2017 024    75   0.000    0.00       0    0.00
 2017 025    76   0.000    0.00       0    0.00
 2017 026    77   0.000    0.00       0    0.00
 2017 027    78   0.000    0.00       0    0.00
 2017 028    79   0.000    0.00       0    0.00
 2017 029    80   0.000    0.00       0    0.00
 2017 030    81   0.000    0.00       0    0.00
 2017 031    82   0.000    0.00       0    0.00
 2017 032    83   0.000    0.00       0    0.00
 2017 033    84   0.000    0.00       0    0.00
 2017 034    85   0.000    0.00       0    0.00
 2017 035    86   0.000    0.00       0    0.00
 2017 036    87   0.000    0.00       0    0.00
 2017 037    88   0.000    0.00       0    0.00
 2017 038    89   0.000    0.00       0    0.00
 2017 039    90   0.000    0.00       0    0.00
 2017 040    91   0.000    0.00       0    0.00
 2017 041    92   0.000    0.00       0    0.00
 2017 042    93   0.000    0.00       0    0.00
 2017 043    94   0.000    0.00       0    0.00
 2017 044    95   0.000    0.00       0    0.00
 2017 045    96   0.000    0.00       0    0.00
