*SOM C DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
!                                                                                                                                                                                                                                                                                                                                                                                                                                                  Cumul.
!               <---- SOM C in top layers ----> <- SOM + LIT C in top layers -> <------------ Total Soil Organic Carbon (SOM + LIT) ------------> <--------- Active Soil Organic Carbon (SOM1) ---------> <---- Intermediate Soil Organic C (SOM2) -----> <------- Passive Soil Organic C (SOM3) -------> <------------------ Litter Carbon --------------------> <-------------- Metabolic Litter Carbon --------------> <------------- Structural Litter Carbon -------------->  Resid.  <-Accum. CO2->
!               20cm-kg  20cm-% 40cm-kg  40cm-% 20cm-kg  20cm-% 40cm-kg  40cm-%     Total Surface    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150    Soil     0-5    5-15   15-30   30-45  45-150    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150 (kg/ha) Surface    Soil
@YEAR DOY   DAS  SCS20D  SC%20D  SCS40D  SC%40D  SLC20D  SL%20D  SLC40D  SL%40D      SOCD    SC0D    SCTD    SC1D    SC2D    SC3D    SC4D   SC5+D   S1C0D   S1CTD   S1C1D   S1C2D   S1C3D   S1C4D  S1C5+D   S2CTD   S2C1D   S2C2D   S2C3D   S2C4D  S2C5+D   S3CTD   S3C1D   S3C2D   S3C3D   S3C4D  S3C5+D    LC0D    LCTD    LC1D    LC2D    LC3D    LC4D   LC5+D   MEC0D   MECTD   MEC1D   MEC2D   MEC3D   MEC4D  MEC5+D   STC0D   STCTD   STC1D   STC2D   STC3D   STC4D  STC5+D    RESC   CO20C   CO2SC
 2016 315     0   26115   0.931   10982   0.388   28092   1.001   10982   0.388     64679       0   64679    8709   15738   10935    5538   23759       0      63       8      14      11       6      24    1191     153     274     208     105     451   61448    7889   14132   10716    5427   23284       0    1977     659    1318       0       0       0       0    1466     489     978       0       0       0       0     510     170     340       0       0       0       0       0       0
 2016 316     1   26121   0.931   10982   0.388   28084   1.001   10982   0.388     64671       0   64671    8706   15733   10935    5538   23759       0      69      10      18      11       6      24    1191     153     274     208     105     451   61448    7889   14132   10716    5427   23284       0    1963     654    1309       0       0       0       0    1453     484     969       0       0       0       0     510     170     340       0       0       0       0       0       8
 2016 317     2   26127   0.931   10982   0.388   28076   1.001   10982   0.388     64663       0   64663    8703   15728   10935    5538   23759       0      75      13      22      11       6      24    1192     153     274     208     105     451   61447    7889   14132   10716    5427   23284       0    1949     649    1301       0       0       0       0    1440     479     961       0       0       0       0     510     170     340       0       0       0       0       0      15
 2016 318     3   26134   0.932   10982   0.388   28069   1.001   10982   0.388     64655       0   64655    8700   15724   10934    5538   23759       0      81      15      26      11       6      24    1192     153     274     208     105     451   61447    7889   14132   10716    5427   23284       0    1935     643    1292       0       0       0       0    1426     474     952       0       0       0       0     509     170     340       0       0       0       0       0      23
 2016 319     4   26140   0.932   10982   0.388   28061   1.000   10982   0.388     64648       0   64648    8698   15719   10934    5538   23759       0      87      17      30      11       6      24    1192     153     274     208     105     451   61447    7889   14131   10716    5427   23284       0    1922     638    1284       0       0       0       0    1413     469     944       0       0       0       0     509     170     339       0       0       0       0       0      31
 2016 320     5   26145   0.932   10982   0.388   28055   1.000   10982   0.388     64641       0   64641    8695   15715   10934    5538   23759       0      92      19      33      11       6      24    1192     153     274     208     105     452   61447    7889   14131   10716    5427   23284       0    1910     634    1276       0       0       0       0    1401     464     937       0       0       0       0     509     169     339       0       0       0       0       0      38
 2016 321     6   26150   0.932   10982   0.388   28048   1.000   10982   0.388     64634       0   64634    8693   15711   10934    5538   23759       0      98      21      36      11       6      24    1192     153     274     208     105     452   61447    7889   14131   10716    5427   23283       0    1898     629    1269       0       0       0       0    1389     460     930       0       0       0       0     508     169     339       0       0       0       0       0      45
 2016 322     7   26156   0.932   10982   0.388   28041   1.000   10982   0.388     64627       0   64627    8690   15707   10934    5538   23758       0     103      23      40      11       6      24    1192     153     275     208     105     452   61446    7889   14131   10716    5427   23283       0    1886     625    1261       0       0       0       0    1378     456     922       0       0       0       0     508     169     339       0       0       0       0       0      51
 2016 323     8   26161   0.933   10982   0.388   28035   0.999   10982   0.388     64621       0   64621    8688   15703   10934    5538   23758       0     108      25      43      11       6      24    1193     153     275     208     105     452   61446    7889   14131   10716    5427   23283       0    1875     620    1254       0       0       0       0    1367     451     916       0       0       0       0     508     169     339       0       0       0       0       0      57
 2016 324     9   26166   0.933   10981   0.388   28029   0.999   10981   0.388     64614       0   64614    8685   15699   10934    5538   23758       0     113      27      46      11       6      24    1193     153     275     208     105     452   61446    7889   14131   10716    5427   23283       0    1862     616    1247       0       0       0       0    1355     447     908       0       0       0       0     507     169     338       0       0       0       0       0      64
