*SOM N DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
!                                                                                                                                                                                                                                                                                                                                                                                                                                                Cumul.
!               <---- SOM N in top layers ----> <---------------- Total Soil Organic Nitrogen ----------------> <-------- Active Soil Organic Nitrogen (SOM1) --------> <---- Intermediate Soil Organic N (SOM2) -----> <------- Passive Soil Organic N (SOM3) -------> <----------------- Litter Nitrogen -------------------> <------------- Metabolic Litter Nitrogen -------------> <------------ Structural Litter Nitrogen ------------->  Res. N
!               20cm-kg  20cm-% 40cm-kg  40cm-%   Total Surface    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150    Soil     0-5    5-15   15-30   30-45  45-150    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150 (kg/ha)
@YEAR DOY   DAS  SNS20D  SN%20D  SNS40D  SN%40D    SOND    SN0D    SNTD    SN1D    SN2D    SN3D    SN4D   SN5+D   S1N0D   S1NTD   S1N1D   S1N2D   S1N3D   S1N4D  S1N5+D   S2NTD   S2N1D   S2N2D   S2N3D   S2N4D  S2N5+D   S3NTD   S3N1D   S3N2D   S3N3D   S3N4D  S3N5+D    LN0D    LNTD    LN1D    LN2D    LN3D    LN4D   LN5+D   MEN0D   MENTD   MEN1D   MEN2D   MEN3D   MEN4D  MEN5+D   STN0D   STNTD   STN1D   STN2D   STN3D   STN4D  STN5+D   RESNC
 2016 315     0    3688   0.131    1551   0.055    8914       0    8914    1157    2076    1544     782    3355       0       6       1       1       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   59.36   19.80   39.57    0.00    0.00    0.00    0.00   55.96   18.66   37.30    0.00    0.00    0.00    0.00    3.40    1.13    2.27    0.00    0.00    0.00       0
 2016 316     1    3688   0.131    1551   0.055    8914       0    8914    1157    2076    1544     782    3355       0       7       1       2       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   58.85   19.60   39.24    0.00    0.00    0.00    0.00   55.44   18.47   36.98    0.00    0.00    0.00    0.00    3.40    1.13    2.27    0.00    0.00    0.00       0
 2016 317     2    3689   0.132    1551   0.055    8914       0    8914    1157    2076    1544     782    3355       0       7       1       2       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   58.34   19.41   38.93    0.00    0.00    0.00    0.00   54.94   18.28   36.66    0.00    0.00    0.00    0.00    3.40    1.13    2.27    0.00    0.00    0.00       0
 2016 318     3    3689   0.132    1551   0.055    8914       0    8914    1157    2076    1544     782    3355       0       8       1       2       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   57.81   19.21   38.60    0.00    0.00    0.00    0.00   54.41   18.08   36.33    0.00    0.00    0.00    0.00    3.40    1.13    2.27    0.00    0.00    0.00       0
 2016 319     4    3690   0.132    1551   0.055    8914       0    8914    1157    2076    1544     782    3355       0       8       2       3       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   57.32   19.03   38.29    0.00    0.00    0.00    0.00   53.92   17.90   36.03    0.00    0.00    0.00    0.00    3.40    1.13    2.26    0.00    0.00    0.00       0
 2016 320     5    3690   0.132    1551   0.055    8914       0    8914    1157    2076    1544     782    3355       0       9       2       3       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   56.86   18.86   38.01    0.00    0.00    0.00    0.00   53.47   17.73   35.74    0.00    0.00    0.00    0.00    3.40    1.13    2.26    0.00    0.00    0.00       0
 2016 321     6    3691   0.132    1551   0.055    8914       0    8914    1157    2076    1544     782    3355       0       9       2       3       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   56.42   18.69   37.73    0.00    0.00    0.00    0.00   53.03   17.56   35.47    0.00    0.00    0.00    0.00    3.39    1.13    2.26    0.00    0.00    0.00       0
 2016 322     7    3691   0.132    1551   0.055    8914       0    8914    1157    2076    1544     782    3355       0      10       2       4       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   55.98   18.52   37.45    0.00    0.00    0.00    0.00   52.58   17.39   35.19    0.00    0.00    0.00    0.00    3.39    1.13    2.26    0.00    0.00    0.00       0
 2016 323     8    3692   0.132    1551   0.055    8914       0    8914    1156    2076    1544     782    3355       0      10       2       4       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   55.56   18.37   37.20    0.00    0.00    0.00    0.00   52.17   17.24   34.94    0.00    0.00    0.00    0.00    3.39    1.13    2.26    0.00    0.00    0.00       0
 2016 324     9    3692   0.132    1551   0.055    8914       0    8914    1156    2076    1544     782    3355       0      10       2       4       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   55.11   18.20   36.92    0.00    0.00    0.00    0.00   51.72   17.07   34.66    0.00    0.00    0.00    0.00    3.39    1.13    2.26    0.00    0.00    0.00       0
 2016 325    10    3693   0.132    1551   0.055    8914       0    8914    1156    2076    1544     782    3355       0      11       3       4       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   54.56   17.99   36.57    0.00    0.00    0.00    0.00   51.17   16.86   34.32    0.00    0.00    0.00    0.00    3.39    1.13    2.26    0.00    0.00    0.00       0
 2016 326    11    3693   0.132    1551   0.055    8914       0    8914    1156    2076    1544     782    3355       0      12       3       5       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   53.99   17.77   36.22    0.00    0.00    0.00    0.00   50.61   16.64   33.96    0.00    0.00    0.00    0.00    3.39    1.13    2.26    0.00    0.00    0.00       0
 2016 327    12    3694   0.132    1551   0.055    8914       0    8914    1156    2076    1544     782    3355       0      12       3       5       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   53.53   17.60   35.94    0.00    0.00    0.00    0.00   50.15   16.47   33.68    0.00    0.00    0.00    0.00    3.38    1.13    2.26    0.00    0.00    0.00       0
 2016 328    13    3694   0.132    1551   0.055    8914       0    8914    1156    2076    1544     782    3355       0      12       3       5       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   53.17   17.46   35.71    0.00    0.00    0.00    0.00   49.79   16.33   33.45    0.00    0.00    0.00    0.00    3.38    1.13    2.26    0.00    0.00    0.00       0
 2016 329    14    3694   0.132    1551   0.055    8914       0    8914    1156    2076    1544     782    3355       0      13       3       6       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   52.89   17.35   35.53    0.00    0.00    0.00    0.00   49.50   16.23   33.28    0.00    0.00    0.00    0.00    3.38    1.13    2.26    0.00    0.00    0.00       0
 2016 330    15    3694   0.132    1551   0.055    8914       0    8914    1156    2076    1544     782    3355       0      13       3       6       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   52.67   17.26   35.41    0.00    0.00    0.00    0.00   49.29   16.13   33.15    0.00    0.00    0.00    0.00    3.38    1.13    2.26    0.00    0.00    0.00       0
 2016 331    16    3695   0.132    1551   0.055    8914       0    8914    1156    2076    1544     782    3355       0      13       3       6       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   52.51   17.20   35.31    0.00    0.00    0.00    0.00   49.13   16.08   33.05    0.00    0.00    0.00    0.00    3.38    1.13    2.26    0.00    0.00    0.00       0
 2016 332    17    3695   0.132    1551   0.055    8914       0    8914    1156    2076    1544     782    3355       0      13       3       6       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   52.34   17.14   35.20    0.00    0.00    0.00    0.00   48.96   16.01   32.95    0.00    0.00    0.00    0.00    3.38    1.13    2.25    0.00    0.00    0.00       0
 2016 333    18    3695   0.132    1551   0.055    8913       0    8913    1156    2076    1544     782    3355       0      13       3       6       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   52.14   17.06   35.08    0.00    0.00    0.00    0.00   48.76   15.93   32.83    0.00    0.00    0.00    0.00    3.38    1.13    2.25    0.00    0.00    0.00       0
 2016 334    19    3695   0.132    1551   0.055    8913       0    8913    1156    2076    1544     782    3355       0      14       3       6       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   51.91   16.96   34.95    0.00    0.00    0.00    0.00   48.53   15.84   32.70    0.00    0.00    0.00    0.00    3.38    1.12    2.25    0.00    0.00    0.00       0
 2016 335    20    3696   0.132    1551   0.055    8913       0    8913    1156    2076    1544     782    3355       0      14       4       6       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   51.54   16.89   34.66    0.00    0.00    0.00    0.00   48.17   15.76   32.40    0.00    0.00    0.00    0.00    3.38    1.12    2.25    0.00    0.00    0.00       0
 2016 336    21    3696   0.132    1551   0.055    8913       0    8913    1156    2076    1544     782    3355       0      14       4       7       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   51.30   16.81   34.49    0.00    0.00    0.00    0.00   47.92   15.68   32.24    0.00    0.00    0.00    0.00    3.38    1.12    2.25    0.00    0.00    0.00       0
 2016 337    22    3696   0.132    1551   0.055    8913       0    8913    1156    2076    1544     782    3355       0      14       4       7       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   50.99   16.71   34.29    0.00    0.00    0.00    0.00   47.62   15.58   32.04    0.00    0.00    0.00    0.00    3.38    1.12    2.25    0.00    0.00    0.00       0
 2016 338    23    3696   0.132    1551   0.055    8913       0    8913    1156    2076    1544     782    3355       0      15       4       7       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   50.69   16.60   34.08    0.00    0.00    0.00    0.00   47.31   15.48   31.83    0.00    0.00    0.00    0.00    3.37    1.12    2.25    0.00    0.00    0.00       0
 2016 339    24    3697   0.132    1551   0.055    8913       0    8913    1156    2076    1544     782    3355       0      15       4       7       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   50.38   16.50   33.88    0.00    0.00    0.00    0.00   47.01   15.38   31.63    0.00    0.00    0.00    0.00    3.37    1.12    2.25    0.00    0.00    0.00       0
 2016 340    25    3697   0.132    1551   0.055    8913       0    8913    1156    2076    1544     782    3355       0      15       4       7       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   50.09   16.40   33.69    0.00    0.00    0.00    0.00   46.72   15.28   31.44    0.00    0.00    0.00    0.00    3.37    1.12    2.25    0.00    0.00    0.00       0
 2016 341    26    3697   0.132    1551   0.055    8913       0    8913    1156    2076    1544     782    3355       0      16       4       8       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   49.85   16.33   33.52    0.00    0.00    0.00    0.00   46.48   15.20   31.27    0.00    0.00    0.00    0.00    3.37    1.12    2.25    0.00    0.00    0.00       0
 2016 342    27    3697   0.132    1551   0.055    8913       0    8913    1156    2076    1544     782    3355       0      16       4       8       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   49.65   16.26   33.38    0.00    0.00    0.00    0.00   46.28   15.14   31.13    0.00    0.00    0.00    0.00    3.37    1.12    2.25    0.00    0.00    0.00       0
 2016 343    28    3698   0.132    1551   0.055    8913       0    8913    1156    2076    1544     782    3355       0      16       4       8       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   49.45   16.20   33.25    0.00    0.00    0.00    0.00   46.08   15.08   31.00    0.00    0.00    0.00    0.00    3.37    1.12    2.25    0.00    0.00    0.00       0
 2016 344    29    3698   0.132    1551   0.055    8913       0    8913    1156    2076    1544     782    3355       0      16       4       8       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   49.27   16.15   33.12    0.00    0.00    0.00    0.00   45.90   15.03   30.87    0.00    0.00    0.00    0.00    3.37    1.12    2.25    0.00    0.00    0.00       0
 2016 345    30    3698   0.132    1551   0.055    8913       0    8913    1156    2076    1544     782    3355       0      16       4       8       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   49.11   16.10   33.01    0.00    0.00    0.00    0.00   45.74   14.98   30.76    0.00    0.00    0.00    0.00    3.37    1.12    2.25    0.00    0.00    0.00       0
 2016 346    31    3698   0.132    1551   0.055    8913       0    8913    1156    2076    1544     782    3355       0      16       4       8       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   48.97   16.05   32.91    0.00    0.00    0.00    0.00   45.60   14.93   30.67    0.00    0.00    0.00    0.00    3.37    1.12    2.25    0.00    0.00    0.00       0
 2016 347    32    3698   0.132    1551   0.055    8913       0    8913    1156    2076    1544     782    3355       0      17       4       8       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   48.83   16.01   32.82    0.00    0.00    0.00    0.00   45.47   14.89   30.58    0.00    0.00    0.00    0.00    3.37    1.12    2.25    0.00    0.00    0.00       0
 2016 348    33    3698   0.132    1551   0.055    8913       0    8913    1156    2076    1544     782    3355       0      17       4       8       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   48.71   15.97   32.73    0.00    0.00    0.00    0.00   45.34   14.85   30.49    0.00    0.00    0.00    0.00    3.37    1.12    2.25    0.00    0.00    0.00       0
 2016 349    34    3698   0.132    1551   0.055    8913       0    8913    1156    2076    1544     782    3355       0      17       4       8       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   48.59   15.94   32.65    0.00    0.00    0.00    0.00   45.22   14.82   30.41    0.00    0.00    0.00    0.00    3.37    1.12    2.25    0.00    0.00    0.00       0
 2016 350    35    3699   0.132    1551   0.055    8913       0    8913    1156    2076    1544     782    3355       0      17       4       9       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   48.48   15.90   32.57    0.00    0.00    0.00    0.00   45.11   14.78   30.33    0.00    0.00    0.00    0.00    3.37    1.12    2.25    0.00    0.00    0.00       0
 2016 351    36    3699   0.132    1551   0.055    8913       0    8913    1156    2076    1544     782    3355       0      17       4       9       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   48.37   15.87   32.50    0.00    0.00    0.00    0.00   45.01   14.75   30.26    0.00    0.00    0.00    0.00    3.37    1.12    2.25    0.00    0.00    0.00       0
 2016 352    37    3699   0.132    1551   0.055    8913       0    8913    1156    2076    1544     782    3355       0      17       4       9       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   48.28   15.84   32.44    0.00    0.00    0.00    0.00   44.91   14.72   30.19    0.00    0.00    0.00    0.00    3.37    1.12    2.24    0.00    0.00    0.00       0
 2016 353    38    3699   0.132    1551   0.055    8913       0    8913    1156    2076    1544     782    3355       0      17       5       9       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   48.20   15.81   32.38    0.00    0.00    0.00    0.00   44.83   14.69   30.14    0.00    0.00    0.00    0.00    3.37    1.12    2.24    0.00    0.00    0.00       0
 2016 354    39    3699   0.132    1551   0.055    8913       0    8913    1156    2076    1544     782    3355       0      17       5       9       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   48.12   15.79   32.33    0.00    0.00    0.00    0.00   44.75   14.67   30.08    0.00    0.00    0.00    0.00    3.36    1.12    2.24    0.00    0.00    0.00       0
 2016 355    40    3699   0.132    1551   0.055    8913       0    8913    1156    2076    1544     782    3355       0      17       5       9       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   48.04   15.77   32.28    0.00    0.00    0.00    0.00   44.68   14.65   30.03    0.00    0.00    0.00    0.00    3.36    1.12    2.24    0.00    0.00    0.00       0
 2016 356    41    3699   0.132    1551   0.055    8913       0    8913    1156    2076    1544     782    3355       0      17       5       9       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   47.97   15.74   32.23    0.00    0.00    0.00    0.00   44.61   14.62   29.98    0.00    0.00    0.00    0.00    3.36    1.12    2.24    0.00    0.00    0.00       0
 2016 357    42    3699   0.132    1551   0.055    8913       0    8913    1156    2076    1544     782    3355       0      17       5       9       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   47.90   15.72   32.18    0.00    0.00    0.00    0.00   44.54   14.60   29.93    0.00    0.00    0.00    0.00    3.36    1.12    2.24    0.00    0.00    0.00       0
 2016 358    43    3699   0.132    1551   0.055    8913       0    8913    1156    2076    1544     782    3355       0      18       5       9       1       1       2      70       9      16      12       6      27    8778    1127    2019    1531     775    3326    0.00   47.82   15.70   32.12    0.00    0.00    0.00    0.00   44.45   14.58   29.88    0.00    0.00    0.00    0.00    3.36    1.12    2.24    0.00    0.00    0.00       0
