*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
!                                                            NO3 (ppm) by soil depth (cm):                                   NH4 (ppm) by soil depth (cm):
!                                                            0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150
@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM
 2016 315     0     0     0     0.0  153.1   56.4   96.8    5.20    5.20    3.13    2.10    2.10    2.10    2.10    2.10    5.40    5.40    4.53    4.10    4.10    4.10    4.10    4.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 2016 316     1     0     0     0.1  153.0   69.5   83.5    5.77    5.78    3.66    2.61    2.70    2.70    2.71    2.67    4.85    4.81    4.00    3.59    3.50    3.50    3.48    3.52    0.31   13.26    0.00    0.28    0.00    0.03    0.00
 2016 317     2     0     0     0.3  152.9   80.9   72.0    6.67    6.22    4.10    3.05    3.21    3.20    3.24    3.16    4.37    4.29    3.54    3.15    2.99    2.98    2.94    3.01    0.62   24.81    0.00    0.56    0.00    0.06    0.00
 2016 318     3     0     0     0.5  152.7   91.1   61.6    7.60    6.62    4.50    3.45    3.66    3.65    3.69    3.59    3.91    3.80    3.11    2.75    2.54    2.52    2.46    2.55    0.94   35.22    0.00    0.85    0.00    0.09    0.00
 2016 319     4     0     0     0.7  152.6   99.5   53.0    8.41    6.96    4.83    3.79    4.02    4.02    4.06    3.95    3.52    3.39    2.75    2.41    2.17    2.14    2.07    2.17    1.24   43.83    0.00    1.12    0.00    0.12    0.00
 2016 320     5     0     0     0.9  152.4  106.5   45.9    9.17    7.23    5.10    4.07    4.31    4.31    4.36    4.25    3.19    3.05    2.45    2.13    1.87    1.83    1.75    1.85    1.52   50.97    0.03    1.37    0.00    0.15    0.00
 2016 321     6     0     1     1.1  152.2  112.4   39.8    9.96    7.46    5.34    4.31    4.56    4.56    4.60    4.50    2.89    2.74    2.18    1.88    1.61    1.56    1.47    1.57    1.79   57.16    0.05    1.61    0.00    0.18    0.00
 2016 322     7     0     1     1.2  152.0  117.6   34.4   10.74    7.66    5.55    4.53    4.78    4.77    4.81    4.71    2.62    2.46    1.95    1.66    1.39    1.33    1.24    1.33    2.06   62.58    0.08    1.85    0.00    0.21    0.00
 2016 323     8     0     1     1.4  151.8  121.9   29.9   11.48    7.82    5.73    4.71    4.96    4.95    4.98    4.88    2.38    2.22    1.74    1.48    1.20    1.14    1.04    1.13    2.32   67.09    0.10    2.08    0.00    0.24    0.00
 2016 324     9     0     1     1.6  151.7  126.0   25.7   12.26    7.98    5.89    4.89    5.12    5.11    5.13    5.03    2.15    1.98    1.54    1.30    1.03    0.97    0.87    0.95    2.60   71.32    0.13    2.33    0.00    0.26    0.00
 2016 325    10     0     1     1.7  151.5  130.0   21.5   13.15    8.14    6.07    5.07    5.28    5.26    5.27    5.18    1.90    1.73    1.33    1.11    0.86    0.79    0.70    0.77    2.93   75.54    0.15    2.63    0.00    0.30    0.00
 2016 326    11     0     1     1.9  151.4  133.5   17.9   13.93    8.29    6.23    5.23    5.42    5.39    5.39    5.30    1.66    1.50    1.15    0.95    0.71    0.65    0.56    0.62    3.28   79.20    0.17    2.95    0.00    0.33    0.00
 2016 327    12     0     1     2.0  151.3  136.0   15.3   14.29    8.43    6.36    5.35    5.53    5.49    5.47    5.39    1.49    1.33    1.01    0.83    0.60    0.54    0.46    0.51    3.57   81.85    0.19    3.21    0.00    0.36    0.00
 2016 328    13     0     1     2.2  151.2  137.8   13.4   14.57    8.54    6.45    5.44    5.60    5.56    5.53    5.45    1.36    1.21    0.91    0.74    0.53    0.47    0.39    0.44    3.79   83.77    0.21    3.41    0.00    0.39    0.00
 2016 329    14     0     1     2.2  151.1  139.2   11.9   14.90    8.63    6.51    5.50    5.65    5.61    5.57    5.50    1.27    1.11    0.83    0.67    0.47    0.41    0.33    0.38    3.97   85.21    0.22    3.56    0.00    0.41    0.00
 2016 330    15     0     1     2.3  151.0  140.1   11.0   15.10    8.70    6.55    5.54    5.69    5.64    5.60    5.54    1.26    1.05    0.78    0.62    0.43    0.37    0.30    0.33    4.11   86.21    0.23    3.69    0.00    0.42    0.00
 2016 331    16     0     1     2.4  151.0  140.8   10.2   15.33    8.74    6.57    5.58    5.72    5.67    5.62    5.56    1.25    0.99    0.73    0.58    0.40    0.34    0.27    0.30    4.21   87.02    0.24    3.77    0.00    0.44    0.00
 2016 332    17     0     1     2.5  150.9  141.4    9.4   15.41    8.81    6.60    5.61    5.74    5.69    5.63    5.58    1.25    0.94    0.69    0.55    0.37    0.31    0.24    0.26    4.32   87.78    0.25    3.87    0.00    0.45    0.00
 2016 333    18     0     1     2.5  150.8  142.1    8.7   15.56    8.86    6.63    5.64    5.77    5.72    5.65    5.59    1.24    0.89    0.65    0.51    0.33    0.28    0.21    0.23    4.45   88.52    0.26    3.98    0.00    0.47    0.00
 2016 334    19     0     1     2.6  150.8  142.8    8.0   10.71   11.45    6.65    5.67    5.80    5.74    5.66    5.61    1.23    0.83    0.60    0.47    0.31    0.25    0.19    0.21    4.59   89.24    0.27    4.11    0.00    0.48    0.00
 2016 335    20     0     1     2.6  150.7  143.4    7.3    7.58   12.10    7.37    5.70    5.82    5.76    5.68    5.63    1.23    0.77    0.56    0.44    0.28    0.22    0.16    0.18    4.81   89.90    0.28    4.33    0.00    0.49    0.00
 2016 336    21     0     1     2.7  150.6  143.8    6.8    7.84   11.95    7.48    5.73    5.84    5.78    5.69    5.64    1.23    0.76    0.52    0.40    0.25    0.20    0.14    0.16    4.97   90.45    0.29    4.47    0.00    0.50    0.00
 2016 337    22     0     1     2.8  150.6  144.3    6.3    8.10   11.81    7.57    5.76    5.86    5.80    5.69    5.65    1.24    0.74    0.48    0.37    0.23    0.18    0.13    0.14    5.16   90.99    0.30    4.65    0.00    0.51    0.00
 2016 338    23     0     1     2.8  150.5  144.7    5.8    8.21   11.71    7.67    5.79    5.88    5.82    5.70    5.66    1.24    0.73    0.45    0.34    0.20    0.16    0.11    0.12    5.35   91.46    0.31    4.82    0.00    0.53    0.00
 2016 339    24     0     1     2.9  150.5  145.1    5.4    8.35   11.61    7.76    5.81    5.89    5.83    5.71    5.66    1.23    0.71    0.41    0.31    0.19    0.14    0.10    0.11    5.54   91.87    0.32    5.00    0.00    0.54    0.00
 2016 340    25     0     1     2.9  150.4  145.4    5.1    8.46   11.55    7.82    5.83    5.91    5.85    5.72    5.67    1.23    0.70    0.38    0.29    0.17    0.13    0.08    0.09    5.72   92.24    0.32    5.17    0.00    0.55    0.00
 2016 341    26     0     1     3.0  150.4  145.6    4.8    8.53   11.46    7.90    5.85    5.92    5.86    5.72    5.68    1.23    0.69    0.36    0.27    0.15    0.11    0.08    0.08    5.87   92.53    0.33    5.30    0.00    0.57    0.00
 2016 342    27     0     1     3.0  150.4  145.8    4.5    8.59   11.38    7.97    5.86    5.93    5.87    5.72    5.68    1.23    0.68    0.34    0.25    0.14    0.11    0.07    0.07    6.00   92.78    0.33    5.42    0.00    0.58    0.00
 2016 343    28     0     1     3.0  150.3  146.0    4.3    8.63   11.32    8.04    5.88    5.94    5.87    5.73    5.68    1.23    0.67    0.32    0.24    0.13    0.10    0.06    0.07    6.12   93.00    0.34    5.53    0.00    0.59    0.00
 2016 344    29     0     1     3.1  150.3  146.2    4.1    8.68   11.25    8.10    5.89    5.95    5.88    5.73    5.68    1.22    0.66    0.31    0.22    0.13    0.09    0.06    0.06    6.23   93.20    0.34    5.64    0.00    0.60    0.00
 2016 345    30     0     1     3.1  150.3  146.3    4.0    8.72   11.19    8.16    5.90    5.95    5.88    5.74    5.68    1.22    0.65    0.29    0.21    0.12    0.08    0.05    0.06    6.33   93.37    0.35    5.73    0.00    0.60    0.00
 2016 346    31     0     1     3.1  150.3  146.4    3.8    8.76   11.13    8.21    5.91    5.96    5.89    5.74    5.67    1.21    0.64    0.28    0.20    0.11    0.08    0.05    0.05    6.43   93.53    0.35    5.81    0.00    0.61    0.00
 2016 347    32     0     1     3.1  150.3  146.6    3.7    8.81   11.08    8.26    5.91    5.96    5.89    5.74    5.67    1.21    0.63    0.27    0.19    0.10    0.07    0.04    0.05    6.51   93.66    0.35    5.89    0.00    0.62    0.00
 2016 348    33     0     1     3.2  150.2  146.7    3.6    8.86   11.03    8.31    5.92    5.97    5.90    5.75    5.67    1.20    0.62    0.26    0.19    0.10    0.07    0.04    0.04    6.59   93.79    0.35    5.96    0.00    0.63    0.00
 2016 349    34     0     1     3.2  150.2  146.8    3.5    8.92   10.98    8.35    5.93    5.97    5.90    5.75    5.67    1.20    0.61    0.25    0.18    0.09    0.06    0.04    0.04    6.66   93.91    0.35    6.03    0.00    0.64    0.00
 2016 350    35     0     1     3.2  150.2  146.8    3.4    8.96   10.94    8.39    5.93    5.97    5.90    5.75    5.67    1.19    0.61    0.24    0.17    0.09    0.06    0.04    0.04    6.74   94.02    0.35    6.09    0.00    0.64    0.00
 2016 351    36     0     1     3.2  150.2  146.9    3.3    9.01   10.90    8.42    5.94    5.98    5.91    5.75    5.67    1.18    0.60    0.23    0.16    0.09    0.06    0.03    0.03    6.80   94.12    0.35    6.15    0.00    0.65    0.00
 2016 352    37     0     1     3.2  150.2  147.0    3.2    9.05   10.86    8.46    5.94    5.98    5.91    5.75    5.67    1.18    0.59    0.23    0.16    0.08    0.05    0.03    0.03    6.86   94.21    0.35    6.20    0.00    0.66    0.00
 2016 353    38     0     1     3.2  150.2  147.1    3.1    9.10   10.83    8.48    5.95    5.98    5.91    5.75    5.67    1.17    0.59    0.22    0.15    0.08    0.05    0.03    0.03    6.91   94.29    0.35    6.25    0.00    0.66    0.00
 2016 354    39     0     1     3.2  150.2  147.2    3.1    9.16   10.79    8.51    5.95    5.98    5.91    5.76    5.67    1.16    0.58    0.21    0.15    0.08    0.05    0.03    0.03    6.96   94.37    0.35    6.30    0.00    0.67    0.00
 2016 355    40     0     1     3.2  150.2  147.3    3.0    9.21   10.76    8.54    5.95    5.99    5.91    5.76    5.67    1.16    0.57    0.21    0.14    0.07    0.05    0.03    0.03    7.01   94.44    0.35    6.34    0.00    0.67    0.00
 2016 356    41     0     1     3.2  150.2  147.3    2.9    9.26   10.73    8.56    5.96    5.99    5.91    5.76    5.68    1.15    0.57    0.20    0.14    0.07    0.05    0.03    0.03    7.06   94.51    0.35    6.38    0.00    0.68    0.00
 2016 357    42     0     1     3.2  150.2  147.4    2.9    9.31   10.71    8.58    5.96    5.99    5.92    5.76    5.68    1.14    0.56    0.20    0.13    0.07    0.04    0.02    0.02    7.11   94.58    0.35    6.42    0.00    0.68    0.00
 2016 358    43     0     1     3.2  150.3  147.5    2.8    9.33   10.71    8.60    5.96    5.99    5.92    5.76    5.68    1.14    0.56    0.19    0.13    0.06    0.04    0.02    0.02    7.16   94.65    0.35    6.47    0.00    0.69    0.00
 2016 359    44     0     1     3.2  150.3  147.5    2.7    9.39   10.67    8.63    5.96    5.99    5.92    5.76    5.68    1.13    0.55    0.18    0.13    0.06    0.04    0.02    0.02    7.21   94.71    0.35    6.52    0.00    0.70    0.00
 2016 360    45     0     1     3.2  150.3  147.6    2.7    8.58   11.06    8.66    5.97    5.99    5.92    5.76    5.68    1.13    0.54    0.18    0.12    0.06    0.04    0.02    0.02    7.28   94.78    0.35    6.57    0.00    0.70    0.00
 2016 361    46     0     1     3.2  150.3  147.7    2.6    7.95   11.34    8.71    5.97    5.99    5.92    5.76    5.68    1.13    0.53    0.17    0.12    0.06    0.04    0.02    0.02    7.35   94.85    0.35    6.64    0.00    0.71    0.00
 2016 362    47     0     1     3.2  150.3  147.7    2.5    6.89   11.31    9.11    5.97    5.99    5.92    5.76    5.68    1.13    0.53    0.16    0.11    0.05    0.03    0.02    0.02    7.43   94.92    0.35    6.71    0.00    0.72    0.00
 2016 363    48     0     1     3.2  150.3  147.8    2.5    7.09   11.18    9.17    5.97    5.99    5.92    5.76    5.68    1.14    0.52    0.16    0.10    0.05    0.03    0.02    0.02    7.52   94.99    0.35    6.79    0.00    0.73    0.00
 2016 364    49     0     1     3.2  150.3  147.9    2.4    7.29   11.06    9.23    5.97    5.99    5.92    5.76    5.68    1.14    0.52    0.15    0.10    0.05    0.03    0.02    0.01    7.63   95.07    0.35    6.89    0.00    0.74    0.00
 2016 365    50     0     1     3.2  150.3  148.0    2.4    7.33   10.97    9.30    5.98    5.99    5.92    5.76    5.68    1.14    0.51    0.14    0.09    0.04    0.03    0.01    0.01    7.74   95.14    0.35    6.98    0.00    0.76    0.00
 2016 366    51     0     1     3.2  150.3  148.0    2.3    7.49   10.88    9.36    5.98    5.99    5.92    5.76    5.68    1.14    0.51    0.13    0.09    0.04    0.02    0.01    0.01    7.86   95.22    0.36    7.09    0.00    0.77    0.00
 2017 001    52     0     1     3.2  150.3  148.1    2.3    7.55   10.80    9.41    5.98    5.99    5.92    5.76    5.68    1.14    0.50    0.13    0.08    0.04    0.02    0.01    0.01    7.97   95.28    0.36    7.19    0.00    0.78    0.00
 2017 002    53     0     1     3.2  150.4  148.2    2.2    7.64   10.72    9.46    5.98    5.99    5.92    5.75    5.68    1.13    0.50    0.12    0.08    0.04    0.02    0.01    0.01    8.08   95.34    0.36    7.28    0.00    0.80    0.00
 2017 003    54     0     1     3.2  150.4  148.2    2.2    7.71   10.65    9.51    5.98    5.99    5.92    5.75    5.68    1.13    0.49    0.12    0.07    0.03    0.02    0.01    0.01    8.17   95.40    0.36    7.36    0.00    0.81    0.00
 2017 004    55     0     1     3.2  150.4  148.3    2.1    7.82   10.59    9.55    5.98    5.99    5.92    5.75    5.67    1.12    0.48    0.11    0.07    0.03    0.02    0.01    0.01    8.27   95.46    0.36    7.45    0.00    0.82    0.00
 2017 005    56     0     1     3.2  150.4  148.3    2.1    7.94   10.53    9.58    5.98    5.99    5.92    5.75    5.67    1.12    0.48    0.11    0.07    0.03    0.02    0.01    0.01    8.37   95.51    0.36    7.54    0.00    0.83    0.00
 2017 006    57     0     1     3.2  150.4  148.4    2.0    8.03   10.48    9.59    6.01    5.99    5.92    5.75    5.67    1.11    0.47    0.10    0.06    0.03    0.02    0.01    0.01    8.48   95.56    0.36    7.63    0.00    0.85    0.00
 2017 007    58     0     1     3.2  150.4  148.4    2.0    8.08   10.43    9.59    6.05    5.99    5.92    5.75    5.67    1.11    0.47    0.10    0.06    0.03    0.02    0.01    0.01    8.56   95.61    0.36    7.71    0.00    0.86    0.00
 2017 008    59     0     1     3.2  150.4  148.5    2.0    8.13   10.38    9.59    6.08    5.99    5.92    5.75    5.67    1.10    0.46    0.10    0.06    0.03    0.02    0.01    0.01    8.64   95.66    0.36    7.77    0.00    0.87    0.00
 2017 009    60     0     1     3.2  150.4  148.5    1.9    8.17   10.34    9.59    6.12    5.99    5.92    5.75    5.67    1.10    0.46    0.09    0.06    0.03    0.02    0.01    0.01    8.70   95.69    0.36    7.83    0.00    0.87    0.00
 2017 010    61     0     1     3.2  150.4  148.5    1.9    8.22   10.30    9.58    6.14    5.99    5.92    5.75    5.67    1.09    0.45    0.09    0.06    0.02    0.01    0.01    0.01    8.75   95.72    0.36    7.87    0.00    0.88    0.00
 2017 011    62     0     1     3.2  150.4  148.6    1.9    8.25   10.28    9.60    6.14    5.99    5.92    5.75    5.67    1.09    0.45    0.09    0.05    0.02    0.01    0.01    0.01    8.79   95.76    0.36    7.90    0.00    0.89    0.00
 2017 012    63     0     1     3.2  150.4  148.6    1.9    7.89   10.47    9.63    6.14    5.99    5.91    5.75    5.67    1.08    0.45    0.09    0.05    0.02    0.01    0.01    0.01    8.84   95.78    0.36    7.95    0.00    0.89    0.00
 2017 013    64     0     1     3.2  150.5  148.6    1.8    7.81   10.55    9.64    6.14    5.98    5.91    5.75    5.67    1.08    0.44    0.09    0.05    0.02    0.01    0.01    0.01    8.91   95.81    0.36    8.00    0.00    0.90    0.00
 2017 014    65     0     1     3.2  150.5  148.6    1.8    7.90   10.48    9.62    6.20    5.98    5.91    5.74    5.67    1.08    0.44    0.09    0.05    0.02    0.01    0.01    0.01    8.98   95.84    0.36    8.07    0.00    0.91    0.00
 2017 015    66     0     1     3.2  150.5  148.7    1.8    7.95   10.41    9.61    6.26    5.98    5.91    5.74    5.67    1.09    0.43    0.08    0.05    0.02    0.01    0.01    0.01    9.06   95.87    0.36    8.14    0.00    0.92    0.00
 2017 016    67     0     1     3.2  150.5  148.7    1.8    7.98   10.35    9.60    6.32    5.98    5.91    5.74    5.67    1.09    0.43    0.08    0.04    0.02    0.01    0.01    0.01    9.16   95.90    0.36    8.22    0.00    0.93    0.00
 2017 017    68     0     1     3.2  150.5  148.7    1.8    8.01   10.29    9.59    6.37    5.98    5.91    5.74    5.67    1.08    0.42    0.08    0.04    0.02    0.01    0.01    0.01    9.24   95.93    0.36    8.30    0.00    0.94    0.00
 2017 018    69     0     1     3.2  150.5  148.8    1.7    4.15    8.61   11.01    7.36    5.98    5.91    5.74    5.67    1.08    0.42    0.08    0.04    0.02    0.01    0.01    0.01    9.32   95.96    0.36    8.37    0.00    0.95    0.00
 2017 019    70     0     1     3.2  150.5  148.8    1.7    4.23    8.53   10.88    7.54    5.98    5.90    5.74    5.67    1.09    0.42    0.08    0.04    0.02    0.01    0.01    0.01    9.38   95.98    0.36    8.41    0.00    0.97    0.00
 2017 020    71     0     1     3.2  150.5  148.8    1.7    4.31    8.45   10.75    7.71    5.97    5.90    5.74    5.66    1.09    0.42    0.08    0.04    0.02    0.01    0.01    0.01    9.45   96.00    0.36    8.47    0.00    0.98    0.00
 2017 021    72     0     1     3.2  150.6  148.8    1.7    3.98    8.37   10.83    7.81    5.97    5.90    5.74    5.66    1.09    0.42    0.08    0.04    0.02    0.01    0.01    0.01    9.53   96.02    0.36    8.54    0.00    1.00    0.00
 2017 022    73     0     1     3.2  150.6  148.8    1.7    4.09    8.31   10.75    7.91    5.97    5.90    5.74    5.66    1.09    0.42    0.08    0.03    0.01    0.01    0.01    0.01    9.62   96.04    0.36    8.61    0.00    1.01    0.00
