*Soil Organic Matter daily output file

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
@YEAR DOY   DAS    OMAC    SCDD    SOCD    SC0D    SCTD   SOMCT    LCTD    ONAC    SNDD    SOND    SN0D    SNTD   SOMNT    LNTD
 2016 315     0       0   12827   64679       0   64679   62702  1976.8    0.00  1811.5  8914.0    0.00  8914.0  8854.6   59.36
 2016 316     1       0   12831   64671       0   64671   62708  1962.9    0.00  1811.8  8913.9    0.00  8913.9  8855.1   58.85
 2016 317     2       0   12834   64663       0   64663   62714  1949.2    0.00  1812.0  8913.9    0.00  8913.9  8855.6   58.34
 2016 318     3       0   12838   64655       0   64655   62720  1935.0    0.00  1812.3  8913.9    0.00  8913.9  8856.1   57.81
 2016 319     4       0   12841   64648       0   64648   62726  1921.8    0.00  1812.6  8913.8    0.00  8913.8  8856.5   57.32
 2016 320     5       0   12844   64641       0   64641   62731  1909.6    0.00  1812.9  8913.8    0.00  8913.8  8856.9   56.86
 2016 321     6       0   12847   64634       0   64634   62736  1897.7    0.00  1813.1  8913.8    0.00  8913.8  8857.4   56.42
 2016 322     7       0   12850   64627       0   64627   62742  1885.7    0.00  1813.4  8913.8    0.00  8913.8  8857.8   55.98
 2016 323     8       0   12853   64621       0   64621   62746  1874.6    0.00  1813.6  8913.7    0.00  8913.7  8858.2   55.56
 2016 324     9       0   12856   64614       0   64614   62752  1862.5    0.00  1813.9  8913.7    0.00  8913.7  8858.6   55.11
 2016 325    10       0   12860   64606       0   64606   62758  1847.6    0.00  1814.2  8913.7    0.00  8913.7  8859.1   54.56
 2016 326    11       0   12864   64597       0   64597   62765  1832.3    0.00  1814.5  8913.6    0.00  8913.6  8859.6   53.99
 2016 327    12       0   12867   64590       0   64590   62770  1819.9    0.00  1814.7  8913.6    0.00  8913.6  8860.1   53.53
 2016 328    13       0   12869   64585       0   64585   62775  1810.1    0.00  1814.9  8913.6    0.00  8913.6  8860.4   53.17
 2016 329    14       0   12871   64580       0   64580   62778  1802.5    0.00  1815.1  8913.6    0.00  8913.6  8860.7   52.89
 2016 330    15       0   12873   64577       0   64577   62780  1796.6    0.00  1815.2  8913.5    0.00  8913.5  8860.9   52.67
 2016 331    16       0   12874   64575       0   64575   62782  1792.4    0.00  1815.3  8913.5    0.00  8913.5  8861.0   52.51
 2016 332    17       0   12875   64572       0   64572   62784  1787.8    0.00  1815.4  8913.5    0.00  8913.5  8861.2   52.34
 2016 333    18       0   12876   64569       0   64569   62787  1782.4    0.00  1815.5  8913.5    0.00  8913.5  8861.4   52.14
 2016 334    19       0   12878   64565       0   64565   62789  1776.3    0.00  1815.6  8913.5    0.00  8913.5  8861.6   51.91
 2016 335    20       0   12881   64560       0   64560   62794  1766.3    0.00  1815.9  8913.5    0.00  8913.5  8861.9   51.54
 2016 336    21       0   12882   64556       0   64556   62796  1759.6    0.00  1816.0  8913.5    0.00  8913.5  8862.2   51.30
 2016 337    22       0   12885   64551       0   64551   62800  1751.5    0.00  1816.2  8913.5    0.00  8913.5  8862.5   50.99
 2016 338    23       0   12887   64547       0   64547   62804  1743.1    0.00  1816.4  8913.4    0.00  8913.4  8862.8   50.69
 2016 339    24       0   12889   64542       0   64542   62807  1735.0    0.00  1816.6  8913.4    0.00  8913.4  8863.0   50.38
 2016 340    25       0   12891   64538       0   64538   62811  1727.1    0.00  1816.7  8913.4    0.00  8913.4  8863.3   50.09
 2016 341    26       0   12893   64534       0   64534   62813  1720.6    0.00  1816.9  8913.4    0.00  8913.4  8863.5   49.85
 2016 342    27       0   12894   64531       0   64531   62816  1715.1    0.00  1817.0  8913.4    0.00  8913.4  8863.7   49.65
 2016 343    28       0   12896   64528       0   64528   62818  1709.8    0.00  1817.1  8913.4    0.00  8913.4  8863.9   49.45
 2016 344    29       0   12897   64525       0   64525   62820  1705.0    0.00  1817.2  8913.4    0.00  8913.4  8864.1   49.27
 2016 345    30       0   12898   64523       0   64523   62822  1700.6    0.00  1817.3  8913.4    0.00  8913.4  8864.2   49.11
 2016 346    31       0   12899   64520       0   64520   62824  1696.7    0.00  1817.4  8913.4    0.00  8913.4  8864.4   48.97
 2016 347    32       0   12900   64518       0   64518   62825  1693.2    0.00  1817.5  8913.3    0.00  8913.3  8864.5   48.83
 2016 348    33       0   12901   64516       0   64516   62827  1689.8    0.00  1817.6  8913.3    0.00  8913.3  8864.6   48.71
 2016 349    34       0   12902   64515       0   64515   62828  1686.6    0.00  1817.6  8913.3    0.00  8913.3  8864.7   48.59
 2016 350    35       0   12902   64513       0   64513   62829  1683.5    0.00  1817.7  8913.3    0.00  8913.3  8864.8   48.48
 2016 351    36       0   12903   64511       0   64511   62831  1680.7    0.00  1817.8  8913.3    0.00  8913.3  8864.9   48.37
 2016 352    37       0   12904   64510       0   64510   62832  1678.2    0.00  1817.8  8913.3    0.00  8913.3  8865.0   48.28
 2016 353    38       0   12904   64509       0   64509   62833  1676.0    0.00  1817.9  8913.3    0.00  8913.3  8865.1   48.20
 2016 354    39       0   12905   64507       0   64507   62833  1673.8    0.00  1817.9  8913.3    0.00  8913.3  8865.2   48.12
 2016 355    40       0   12906   64506       0   64506   62834  1671.8    0.00  1818.0  8913.3    0.00  8913.3  8865.2   48.04
 2016 356    41       0   12906   64505       0   64505   62835  1669.9    0.00  1818.0  8913.3    0.00  8913.3  8865.3   47.97
 2016 357    42       0   12907   64504       0   64504   62836  1667.9    0.00  1818.1  8913.3    0.00  8913.3  8865.4   47.90
 2016 358    43       0   12907   64503       0   64503   62837  1665.7    0.00  1818.1  8913.3    0.00  8913.3  8865.5   47.82
 2016 359    44       0   12908   64501       0   64501   62838  1663.4    0.00  1818.2  8913.3    0.00  8913.3  8865.5   47.73
 2016 360    45       0   12909   64500       0   64500   62839  1660.7    0.00  1818.2  8913.3    0.00  8913.3  8865.6   47.63
 2016 361    46       0   12909   64498       0   64498   62840  1657.6    0.00  1818.3  8913.3    0.00  8913.3  8865.7   47.52
 2016 362    47       0   12910   64496       0   64496   62842  1654.2    0.00  1818.4  8913.2    0.00  8913.2  8865.9   47.39
 2016 363    48       0   12911   64494       0   64494   62844  1650.4    0.00  1818.5  8913.2    0.00  8913.2  8866.0   47.25
