*SOIL TEMPERATURE OUTPUT FILE (DAILY)

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
! TAV  =    12.0
! TAMP =    26.0
!               Temperature (oC) by soil depth (cm):
!               Surface     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150
@YEAR DOY   DAS    TS0D    TS1D    TS2D    TS3D    TS4D    TS5D    TS6D    TS7D    TS8D    
 2016 316     1    10.5    10.6    10.9    11.4    11.9    12.5    13.1    13.9    14.6
 2016 317     2    11.1    11.2    11.4    11.9    12.4    12.9    13.6    14.3    14.9
 2016 318     3    10.4    10.5    10.8    11.3    11.9    12.4    13.1    13.9    14.5
 2016 319     4     9.7     9.8    10.2    10.7    11.3    11.8    12.5    13.4    14.1
 2016 320     5     9.7     9.8    10.1    10.6    11.2    11.7    12.5    13.3    14.0
 2016 321     6     9.8     9.9    10.2    10.7    11.3    11.8    12.6    13.4    14.1
 2016 322     7     9.2     9.3     9.6    10.2    10.8    11.3    12.1    13.0    13.7
 2016 323     8    10.3    10.4    10.7    11.2    11.8    12.3    12.9    13.7    14.4
 2016 324     9    12.7    12.7    13.0    13.4    13.8    14.2    14.8    15.4    15.9
 2016 325    10    13.2    13.3    13.5    13.9    14.3    14.7    15.2    15.8    16.2
 2016 326    11    11.0    11.1    11.4    11.9    12.4    12.9    13.5    14.2    14.8
 2016 327    12     8.6     8.7     9.1     9.6    10.2    10.8    11.6    12.5    13.3
 2016 328    13     6.3     6.5     6.9     7.5     8.2     8.9     9.8    10.9    11.8
 2016 329    14     3.1     3.3     3.8     4.5     5.4     6.2     7.3     8.6     9.8
 2016 330    15     1.5     1.6     2.1     3.0     3.9     4.7     5.9     7.3     8.6
 2016 331    16     1.9     2.1     2.6     3.3     4.2     5.1     6.2     7.6     8.8
 2016 332    17     3.0     3.1     3.6     4.3     5.2     6.0     7.0     8.3     9.5
 2016 333    18     3.7     3.9     4.3     5.0     5.8     6.6     7.6     8.9     9.9
 2016 334    19     4.1     4.2     4.7     5.3     6.1     6.9     7.9     9.1    10.1
 2016 335    20     4.6     4.8     5.2     5.8     6.5     7.2     8.2     9.3    10.3
 2016 336    21     5.7     5.8     6.2     6.7     7.4     8.0     8.9    10.0    10.9
 2016 337    22     5.5     5.6     6.0     6.6     7.2     7.9     8.7     9.8    10.7
 2016 338    23     5.0     5.1     5.5     6.1     6.8     7.4     8.3     9.4    10.4
