*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    SW7D    SW8D    
 2016 315     0   405   146      0      0      0     0     0     0    0.00   0.0   0.0   0.00   0.273   0.270   0.270   0.270   0.270   0.270   0.270   0.270
 2016 316     1   403   144      0      1      0     0     0    71    0.00   0.0   0.0   0.00   0.272   0.269   0.269   0.269   0.269   0.269   0.268   0.268
 2016 317     2   401   142      0      2      0     0     0   143    0.00   0.0   0.0   0.00   0.272   0.269   0.269   0.269   0.269   0.267   0.266   0.266
 2016 318     3   399   140      0      3      0     0     0   143    0.00   0.0   0.0   0.00   0.271   0.268   0.268   0.268   0.268   0.266   0.264   0.264
 2016 319     4   398   138      0      4      0     0     0   144    0.00   0.0   0.0   0.00   0.270   0.267   0.267   0.267   0.268   0.265   0.263   0.262
 2016 320     5   396   136      0      5      0     0     0   144    0.00   0.0   0.0   0.00   0.270   0.267   0.267   0.267   0.267   0.263   0.261   0.260
 2016 321     6   394   135      0      5      0     0     0   145    0.00   0.0   0.0   0.00   0.269   0.266   0.266   0.266   0.266   0.262   0.260   0.259
 2016 322     7   393   133      0      6      0     0     0   145    0.00   0.0   0.0   0.00   0.269   0.266   0.266   0.266   0.266   0.261   0.258   0.257
 2016 323     8   391   132      0      7      0     0     0   146    0.00   0.0   0.0   0.00   0.268   0.265   0.265   0.265   0.265   0.260   0.257   0.256
 2016 324     9   389   130      0      7      0     0     0   146    0.00   0.0   0.0   0.00   0.267   0.264   0.264   0.264   0.264   0.259   0.256   0.254
 2016 325    10   388   129      0      8      0     0     0   146    0.00   0.0   0.0   0.00   0.266   0.264   0.264   0.264   0.264   0.258   0.255   0.253
 2016 326    11   387   128      0      8      0     0     0   147    0.00   0.0   0.0   0.00   0.266   0.263   0.263   0.263   0.263   0.258   0.254   0.252
 2016 327    12   387   127      0      9      0     0     0   147    0.00   0.0   0.0   0.00   0.266   0.263   0.263   0.263   0.263   0.257   0.253   0.251
 2016 328    13   386   126      0      9      0     0     0   147    0.00   0.0   0.0   0.00   0.266   0.263   0.263   0.263   0.263   0.257   0.252   0.250
 2016 329    14   392   133      0      9      7     0     0   147    0.00   0.0   0.0   0.00   0.408   0.263   0.263   0.263   0.263   0.256   0.252   0.250
 2016 330    15   393   134      0      9      9     0     0   147    0.00   0.0   0.0   0.00   0.432   0.264   0.262   0.262   0.262   0.256   0.251   0.250
 2016 331    16   392   133      0      9      9     0     0   147    0.00   0.0   0.0   0.00   0.427   0.265   0.262   0.262   0.262   0.256   0.251   0.249
 2016 332    17   392   132      0     10      9     0     0   148    0.00   0.0   0.0   0.00   0.421   0.265   0.261   0.262   0.262   0.256   0.250   0.249
 2016 333    18   391   131      0     10      9     0     0   148    0.00   0.0   0.0   0.00   0.413   0.265   0.261   0.261   0.262   0.255   0.250   0.248
 2016 334    19   401   142      0     10     20     0     0   148    0.00   0.0   0.0   0.00   0.433   0.367   0.260   0.261   0.261   0.255   0.249   0.248
 2016 335    20   411   152      0     10     31     0     0   148    0.00   0.0   0.0   0.15   0.433   0.436   0.281   0.260   0.261   0.255   0.249   0.247
 2016 336    21   410   151      0     10     31     0     0   148    0.00   0.0   0.0   0.00   0.426   0.431   0.283   0.260   0.261   0.255   0.249   0.247
 2016 337    22   409   150      0     11     31     0     0   148    0.00   0.0   0.0   0.00   0.421   0.427   0.286   0.260   0.260   0.254   0.248   0.246
 2016 338    23   409   150      0     11     31     0     0   148    0.00   0.0   0.0   0.00   0.416   0.423   0.288   0.260   0.260   0.254   0.248   0.246
 2016 339    24   408   149      0     11     31     0     0   148    0.00   0.0   0.0   0.00   0.412   0.420   0.290   0.259   0.260   0.254   0.248   0.246
 2016 340    25   409   149      0     11     32     0     0   148    0.00   0.0   0.0   0.00   0.424   0.418   0.292   0.259   0.260   0.254   0.247   0.246
 2016 341    26   408   149      0     11     35     0     0   149    0.00   0.0   0.0   0.00   0.420   0.415   0.294   0.259   0.260   0.254   0.247   0.245
 2016 342    27   408   149      0     11     35     0     0   149    0.00   0.0   0.0   0.00   0.417   0.412   0.296   0.259   0.260   0.254   0.247   0.245
 2016 343    28   408   148      0     11     35     0     0   149    0.00   0.0   0.0   0.00   0.414   0.410   0.298   0.259   0.260   0.254   0.247   0.245
 2016 344    29   408   148      0     11     35     0     0   149    0.00   0.0   0.0   0.00   0.411   0.408   0.300   0.259   0.260   0.254   0.247   0.244
 2016 345    30   407   148      0     11     36     0     0   149    0.00   0.0   0.0   0.00   0.408   0.405   0.301   0.259   0.260   0.254   0.247   0.244
 2016 346    31   407   148      0     11     36     0     0   149    0.00   0.0   0.0   0.00   0.405   0.403   0.303   0.259   0.260   0.254   0.247   0.244
 2016 347    32   407   148      0     12     36     0     0   149    0.00   0.0   0.0   0.00   0.403   0.401   0.304   0.259   0.259   0.254   0.247   0.244
 2016 348    33   407   147      0     12     38     0     0   149    0.00   0.0   0.0   0.00   0.401   0.399   0.305   0.259   0.259   0.254   0.247   0.243
 2016 349    34   406   147      0     12     38     0     0   149    0.00   0.0   0.0   0.00   0.398   0.398   0.307   0.258   0.259   0.254   0.247   0.243
 2016 350    35   406   147      0     12     38     0     0   149    0.00   0.0   0.0   0.00   0.396   0.396   0.308   0.258   0.259   0.254   0.247   0.243
 2016 351    36   406   147      0     12     38     0     0   149    0.00   0.0   0.0   0.00   0.395   0.394   0.309   0.258   0.259   0.254   0.247   0.243
 2016 352    37   406   147      0     12     38     0     0   149    0.00   0.0   0.0   0.00   0.393   0.393   0.310   0.258   0.259   0.254   0.247   0.243
 2016 353    38   406   146      0     12     38     0     0   149    0.00   0.0   0.0   0.00   0.391   0.391   0.311   0.258   0.259   0.253   0.247   0.243
 2016 354    39   406   146      0     12     39     0     0   149    0.00   0.0   0.0   0.00   0.390   0.390   0.311   0.258   0.259   0.253   0.247   0.243
 2016 355    40   405   146      0     12     39     0     0   149    0.00   0.0   0.0   0.00   0.388   0.389   0.312   0.258   0.259   0.253   0.246   0.243
 2016 356    41   405   146      0     12     39     0     0   149    0.00   0.0   0.0   0.00   0.387   0.388   0.313   0.258   0.259   0.253   0.246   0.243
 2016 357    42   405   146      0     12     39     0     0   149    0.00   0.0   0.0   0.00   0.385   0.386   0.313   0.258   0.259   0.253   0.246   0.243
 2016 358    43   407   148      0     12     39     0     0   149    0.00   0.0   0.0   0.00   0.429   0.386   0.314   0.258   0.259   0.253   0.246   0.243
 2016 359    44   407   148      0     12     39     0     0   149    0.00   0.0   0.0   0.00   0.425   0.385   0.315   0.258   0.259   0.253   0.246   0.243
 2016 360    45   410   150      0     12     40     0     0   149    0.00   0.0   0.0   0.00   0.437   0.405   0.316   0.257   0.259   0.253   0.246   0.243
 2016 361    46   411   152      0     12     40     0     0   149    0.00   0.0   0.0   0.00   0.436   0.422   0.317   0.257   0.258   0.253   0.246   0.242
 2016 362    47   415   155      0     12     43     0     0   149    0.00   0.0   0.0   0.03   0.434   0.436   0.332   0.257   0.258   0.253   0.246   0.242
 2016 363    48   414   155      0     12     43     0     0   149    0.00   0.0   0.0   0.00   0.427   0.431   0.334   0.257   0.258   0.253   0.246   0.242
 2016 364    49   414   154      0     12     43     0     0   149    0.00   0.0   0.0   0.00   0.424   0.428   0.337   0.257   0.258   0.253   0.246   0.242
 2016 365    50   413   154      0     12     43     0     0   149    0.00   0.0   0.0   0.00   0.418   0.424   0.339   0.256   0.258   0.252   0.246   0.242
 2016 366    51   413   154      0     12     43     0     0   149    0.00   0.0   0.0   0.00   0.415   0.421   0.341   0.256   0.258   0.252   0.246   0.242
 2017 001    52   413   153      0     12     43     0     0   149    0.00   0.0   0.0   0.00   0.411   0.418   0.343   0.256   0.257   0.252   0.246   0.242
 2017 002    53   413   153      0     12     43     0     0   149    0.00   0.0   0.0   0.00   0.408   0.415   0.345   0.256   0.257   0.252   0.246   0.242
 2017 003    54   412   153      0     12     43     0     0   149    0.00   0.0   0.0   0.00   0.404   0.412   0.347   0.256   0.257   0.252   0.245   0.242
 2017 004    55   412   153      0     12     43     0     0   149    0.00   0.0   0.0   0.00   0.401   0.409   0.348   0.256   0.257   0.252   0.245   0.242
 2017 005    56   412   152      0     12     43     0     0   150    0.00   0.0   0.0   0.00   0.400   0.407   0.349   0.255   0.257   0.252   0.245   0.242
 2017 006    57   412   152      0     12     43     0     0   150    0.00   0.0   0.0   0.00   0.398   0.405   0.350   0.256   0.257   0.252   0.245   0.242
 2017 007    58   411   152      0     12     43     0     0   150    0.00   0.0   0.0   0.00   0.396   0.403   0.350   0.258   0.257   0.252   0.245   0.242
 2017 008    59   411   152      0     12     43     0     0   150    0.00   0.0   0.0   0.00   0.394   0.401   0.350   0.259   0.257   0.252   0.245   0.242
 2017 009    60   411   152      0     12     43     0     0   150    0.00   0.0   0.0   0.00   0.393   0.399   0.350   0.260   0.257   0.252   0.245   0.242
 2017 010    61   411   152      0     12     43     0     0   150    0.00   0.0   0.0   0.00   0.391   0.397   0.350   0.261   0.257   0.252   0.245   0.242
 2017 011    62   412   153      0     12     45     0     0   150    0.00   0.0   0.0   0.00   0.422   0.396   0.350   0.261   0.257   0.252   0.245   0.242
 2017 012    63   414   154      0     12     47     0     0   150    0.00   0.0   0.0   0.00   0.434   0.407   0.351   0.260   0.256   0.251   0.245   0.241
 2017 013    64   415   155      0     12     48     0     0   150    0.00   0.0   0.0   0.00   0.436   0.414   0.352   0.260   0.256   0.251   0.245   0.241
 2017 014    65   414   155      0     12     48     0     0   150    0.00   0.0   0.0   0.00   0.431   0.411   0.352   0.262   0.256   0.251   0.245   0.241
 2017 015    66   414   155      0     12     48     0     0   150    0.00   0.0   0.0   0.00   0.427   0.408   0.352   0.265   0.256   0.251   0.245   0.241
 2017 016    67   414   155      0     12     48     0     0   150    0.00   0.0   0.0   0.00   0.424   0.406   0.351   0.267   0.256   0.251   0.245   0.241
 2017 017    68   414   154      0     12     51     0     0   150    0.00   0.0   0.0   0.00   0.420   0.404   0.351   0.268   0.256   0.251   0.245   0.241
 2017 018    69   435   175      2     12     72     0     0   150    0.00   0.0   0.0   2.09   0.436   0.437   0.433   0.300   0.256   0.251   0.245   0.241
 2017 019    70   434   175      2     12     72     0     0   150    0.00   0.0   0.0   0.00   0.431   0.433   0.429   0.307   0.255   0.251   0.244   0.241
 2017 020    71   434   175      2     12     72     0     0   150    0.00   0.0   0.0   0.00   0.426   0.429   0.424   0.314   0.255   0.251   0.244   0.241
 2017 021    72   437   177      2     12     75     0     0   150    0.00   0.0   0.0   0.01   0.435   0.437   0.430   0.318   0.255   0.250   0.244   0.241
 2017 022    73   436   176      2     12     75     0     0   150    0.00   0.0   0.0   0.00   0.430   0.433   0.427   0.321   0.255   0.250   0.244   0.241
 2017 023    74   435   176      2     12     75     0     0   150    0.00   0.0   0.0   0.00   0.422   0.428   0.422   0.328   0.255   0.250   0.244   0.241
 2017 024    75   434   175      2     12     75     0     0   150    0.00   0.0   0.0   0.00   0.419   0.425   0.420   0.331   0.254   0.250   0.244   0.241
 2017 025    76   434   175      2     12     75     0     0   150    0.00   0.0   0.0   0.00   0.414   0.421   0.415   0.337   0.254   0.250   0.244   0.240
 2017 026    77   435   176      2     12     77     0     0   150    0.00   0.0   0.0   0.00   0.436   0.425   0.413   0.340   0.254   0.250   0.244   0.240
 2017 027    78   435   176      2     12     77     0     0   150    0.00   0.0   0.0   0.00   0.432   0.423   0.412   0.343   0.254   0.250   0.243   0.240
 2017 028    79   435   176      2     12     77     0     0   150    0.00   0.0   0.0   0.00   0.428   0.420   0.408   0.343   0.260   0.249   0.243   0.240
 2017 029    80   435   175      2     12     77     0     0   150    0.00   0.0   0.0   0.00   0.424   0.417   0.405   0.342   0.265   0.249   0.243   0.240
 2017 030    81   434   175      2     12     77     0     0   150    0.00   0.0   0.0   0.00   0.421   0.414   0.402   0.342   0.270   0.249   0.243   0.240
 2017 031    82   434   175      2     12     77     0     0   150    0.00   0.0   0.0   0.00   0.417   0.412   0.399   0.342   0.275   0.249   0.243   0.240
 2017 032    83   434   174      2     12     77     0     0   150    0.00   0.0   0.0   0.00   0.413   0.409   0.396   0.342   0.279   0.249   0.243   0.240
 2017 033    84   433   174      2     12     77     0     0   150    0.00   0.0   0.0   0.00   0.407   0.405   0.393   0.341   0.282   0.250   0.243   0.240
 2017 034    85   433   173      2     12     77     0     0   150    0.00   0.0   0.0   0.00   0.404   0.403   0.391   0.341   0.282   0.251   0.243   0.240
 2017 035    86   433   173      2     12     77     0     0   150    0.00   0.0   0.0   0.00   0.402   0.401   0.388   0.341   0.282   0.253   0.243   0.240
 2017 036    87   432   173      2     12     77     0     0   150    0.00   0.0   0.0   0.00   0.399   0.399   0.386   0.341   0.282   0.253   0.244   0.240
 2017 037    88   432   172      2     12     77     0     0   150    0.00   0.0   0.0   0.00   0.396   0.397   0.384   0.341   0.282   0.253   0.244   0.240
 2017 038    89   431   172      2     12     77     0     0   150    0.00   0.0   0.0   0.00   0.395   0.395   0.383   0.342   0.282   0.253   0.244   0.240
 2017 039    90   441   181      2     12     88     0     0   150    0.00   0.0   0.0   0.12   0.432   0.435   0.407   0.344   0.282   0.253   0.244   0.240
 2017 040    91   440   181      2     12     88     0     0   150    0.00   0.0   0.0   0.00   0.430   0.431   0.405   0.346   0.282   0.252   0.243   0.240
 2017 041    92   440   180      2     12     88     0     0   150    0.00   0.0   0.0   0.00   0.426   0.428   0.402   0.346   0.282   0.253   0.244   0.240
 2017 042    93   439   179      2     13     88     0     0   150    0.00   0.0   0.0   0.00   0.422   0.425   0.399   0.345   0.282   0.253   0.244   0.240
 2017 043    94   438   179      2     13     88     0     0   150    0.00   0.0   0.0   0.00   0.418   0.421   0.398   0.347   0.282   0.253   0.244   0.240
 2017 044    95   436   177      2     14     88     0     0   150    0.00   0.0   0.0   0.00   0.410   0.417   0.394   0.346   0.282   0.253   0.244   0.240
 2017 045    96   435   176      2     14     88     0     0   150    0.00   0.0   0.0   0.00   0.405   0.413   0.392   0.347   0.282   0.252   0.244   0.240
 2017 046    97   434   175      2     14     88     0     0   150    0.00   0.0   0.0   0.00   0.398   0.409   0.389   0.346   0.282   0.253   0.244   0.240
 2017 047    98   433   173      2     14     88     0     0   150    0.00   0.0   0.0   0.00   0.392   0.405   0.386   0.345   0.282   0.253   0.244   0.240
 2017 048    99   432   173      2     15     88     0     0   150    0.00   0.0   0.0   0.00   0.388   0.402   0.384   0.344   0.282   0.253   0.244   0.240
 2017 049   100   431   172      2     15     89     0     0   150    0.00   0.0   0.0   0.00   0.384   0.399   0.382   0.345   0.282   0.253   0.244   0.240
 2017 050   101   430   170      2     15     89     0     0   150    0.00   0.0   0.0   0.00   0.377   0.395   0.379   0.344   0.281   0.253   0.244   0.240
 2017 051   102   428   169      2     15     89     0     0   150    0.00   0.0   0.0   0.00   0.370   0.391   0.376   0.343   0.281   0.253   0.244   0.240
 2017 052   103   427   168      2     15     89     0     0   150    0.00   0.0   0.0   0.00   0.363   0.387   0.373   0.342   0.281   0.253   0.244   0.239
 2017 053   104   427   168      2     15     90     0     0   150    0.00   0.0   0.0   0.00   0.392   0.383   0.371   0.342   0.281   0.252   0.243   0.239
 2017 054   105   426   166      2     15     90     0     0   150    0.00   0.0   0.0   0.00   0.383   0.380   0.368   0.341   0.281   0.252   0.243   0.239
 2017 055   106   424   165      2     15     90     0     0   150    0.00   0.0   0.0   0.00   0.375   0.376   0.365   0.340   0.281   0.252   0.243   0.239
 2017 056   107   428   169      2     15     95     0     0   150    0.00   0.0   0.0   0.00   0.431   0.391   0.364   0.340   0.281   0.252   0.242   0.238
 2017 057   108   427   168      2     15     95     0     0   150    0.00   0.0   0.0   0.00   0.424   0.389   0.363   0.340   0.282   0.252   0.242   0.238
 2017 058   109   427   168      2     15     95     0     0   150    0.00   0.0   0.0   0.00   0.420   0.387   0.362   0.340   0.282   0.252   0.242   0.238
 2017 059   110   426   167      2     15     96     0     0   150    0.00   0.0   0.0   0.00   0.417   0.385   0.360   0.340   0.281   0.252   0.242   0.238
 2017 060   111   425   165      2     15     96     0     0   150    0.00   0.0   0.0   0.00   0.409   0.383   0.359   0.339   0.281   0.252   0.242   0.238
 2017 061   112   437   178      3     15    110     0     0   150    0.00   0.0   0.0   0.37   0.430   0.434   0.401   0.341   0.280   0.251   0.241   0.238
 2017 062   113   437   177      3     15    110     0     0   150    0.00   0.0   0.0   0.00   0.425   0.431   0.399   0.343   0.280   0.251   0.241   0.237
 2017 063   114   436   177      3     15    110     0     0   150    0.00   0.0   0.0   0.00   0.421   0.427   0.396   0.343   0.282   0.253   0.241   0.237
 2017 064   115   436   176      3     15    110     0     0   150    0.00   0.0   0.0   0.00   0.416   0.424   0.394   0.342   0.282   0.253   0.243   0.237
 2017 065   116   435   175      3     15    110     0     0   150    0.00   0.0   0.0   0.00   0.414   0.419   0.392   0.344   0.282   0.253   0.243   0.237
 2017 066   117   433   174      3     15    110     0     0   150    0.00   0.0   0.0   0.00   0.403   0.414   0.388   0.343   0.281   0.253   0.244   0.237
 2017 067   118   438   179      3     15    117     0     0   150    0.00   0.0   0.0   0.03   0.429   0.434   0.400   0.344   0.281   0.252   0.243   0.237
 2017 068   119   437   178      3     15    117     0     0   150    0.00   0.0   0.0   0.00   0.423   0.429   0.398   0.345   0.281   0.252   0.243   0.237
 2017 069   120   436   176      3     15    117     0     0   150    0.00   0.0   0.0   0.00   0.413   0.423   0.394   0.344   0.281   0.253   0.244   0.236
 2017 070   121   435   175      3     15    118     0     0   150    0.00   0.0   0.0   0.00   0.408   0.419   0.393   0.345   0.281   0.252   0.243   0.236
 2017 071   122   434   175      3     15    118     0     0   150    0.00   0.0   0.0   0.00   0.404   0.416   0.390   0.345   0.282   0.253   0.244   0.236
 2017 072   123   434   175      3     15    118     0     0   150    0.00   0.0   0.0   0.00   0.401   0.413   0.388   0.344   0.282   0.253   0.244   0.238
 2017 073   124   433   174      3     15    123     0     0   150    0.00   0.0   0.0   0.00   0.398   0.410   0.385   0.344   0.282   0.253   0.244   0.240
 2017 074   125   433   173      3     15    124     0     0   150    0.00   0.0   0.0   0.00   0.395   0.407   0.383   0.343   0.282   0.253   0.244   0.240
 2017 075   126   432   173      3     15    125     0     0   150    0.00   0.0   0.0   0.00   0.392   0.405   0.381   0.343   0.282   0.253   0.244   0.240
 2017 076   127   431   172      3     16    125     0     0   150    0.00   0.0   0.0   0.00   0.389   0.402   0.379   0.343   0.282   0.253   0.244   0.240
 2017 077   128   437   178      3     16    126     0     0   150    0.00   0.0   0.0   0.01   0.431   0.435   0.386   0.344   0.282   0.253   0.244   0.240
 2017 078   129   437   177      3     16    126     0     0   150    0.00   0.0   0.0   0.00   0.429   0.434   0.385   0.344   0.281   0.252   0.243   0.239
 2017 079   130   435   176      3     16    126     0     0   150    0.00   0.0   0.0   0.00   0.418   0.428   0.382   0.343   0.281   0.253   0.244   0.240
 2017 080   131   436   176      3     16    128     0     0   150    0.00   0.0   0.0   0.00   0.429   0.430   0.380   0.343   0.281   0.252   0.243   0.239
 2017 081   132   434   174      3     16    128     0     0   150    0.00   0.0   0.0   0.00   0.416   0.423   0.377   0.342   0.281   0.253   0.244   0.239
 2017 082   133   432   173      3     16    128     0     0   150    0.00   0.0   0.0   0.00   0.406   0.417   0.374   0.341   0.281   0.253   0.244   0.240
 2017 083   134   431   172      3     16    128     0     0   150    0.00   0.0   0.0   0.00   0.399   0.413   0.372   0.340   0.282   0.253   0.244   0.240
 2017 084   135   429   170      3     16    128     0     0   150    0.00   0.0   0.0   0.00   0.388   0.407   0.369   0.339   0.281   0.252   0.244   0.240
 2017 085   136   435   176      3     16    136     0     0   150    0.00   0.0   0.0   0.03   0.426   0.433   0.382   0.339   0.280   0.252   0.243   0.239
 2017 086   137   435   176      3     16    138     0     0   150    0.00   0.0   0.0   0.00   0.428   0.434   0.383   0.340   0.280   0.251   0.243   0.239
 2017 087   138   433   174      3     16    138     0     0   150    0.00   0.0   0.0   0.00   0.414   0.426   0.380   0.339   0.281   0.252   0.242   0.239
 2017 088   139   431   172      3     16    138     0     0   150    0.00   0.0   0.0   0.00   0.402   0.420   0.376   0.339   0.281   0.252   0.242   0.238
 2017 089   140   430   170      3     16    138     0     0   150    0.00   0.0   0.0   0.00   0.392   0.413   0.373   0.339   0.281   0.252   0.242   0.238
 2017 090   141   453   194      6     16    166     0     0   150    0.00   0.0   0.0   2.81   0.429   0.434   0.432   0.410   0.284   0.252   0.241   0.238
