*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 2016 316     1    0.0    9.7   10.9    5.0   10.0   0.58   13.6    4.4    8.5   10.4    0.8    8.5   10.4  304.7  400.5
 2016 317     2    0.0    9.7   10.9    4.9    9.8   0.58   17.9    5.0   10.8   13.3    3.6   10.8   13.3  494.2  400.5
 2016 318     3    0.0    9.6   10.8    4.9    9.8   0.58   11.2   -1.6    4.1    6.7   -0.3    4.1    6.7  250.8  400.5
 2016 319     4    0.0    9.6   10.8    4.8    9.6   0.58   10.6    0.4    5.0    7.0    0.2    5.0    7.0  300.0  400.5
 2016 320     5    0.0    9.6   10.8    4.8    9.6   0.58   13.8    3.9    8.3   10.3    1.0    8.3   10.3  359.2  400.5
 2016 321     6    0.0    9.5   10.7    4.7    9.4   0.58   15.7    2.6    8.4   11.0    5.2    8.4   11.0  241.4  400.5
 2016 322     7    0.0    9.5   10.7    4.7    9.4   0.58   14.9    1.3    7.4   10.0    4.5    7.4   10.0  176.3  400.5
 2016 323     8    0.0    9.5   10.7    4.6    9.2   0.58   15.6    8.4   11.6   13.0    6.7   11.6   13.0  389.4  400.5
 2016 324     9    0.0    9.4   10.7    4.6    9.2   0.58   22.9   12.6   17.2   19.2    9.7   17.2   19.2  584.2  400.5
 2016 325    10    0.0    9.4   10.6    4.5    9.0   0.58   18.7    1.3    9.0   12.4    1.3    9.0   12.4  900.5  400.5
 2016 326    11    0.0    9.4   10.6    4.5    9.0   0.58    2.0   -5.9   -2.4   -0.9   -6.7   -2.4   -0.9  542.3  400.5
 2016 327    12    0.0    9.4   10.6    4.5    9.0   0.58    0.8   -7.5   -3.8   -2.2   -8.1   -3.8   -2.2  142.2  400.5
 2016 328    13    0.0    9.3   10.5    4.4    8.8   0.58    4.5   -3.0    0.3    1.8   -5.3    0.3    1.8  181.5  400.5
 2016 329    14    7.2    9.3   10.5    4.4    8.8   0.58    3.8    1.4    2.5    2.9    0.3    2.5    2.9  496.2  400.5
 2016 330    15    1.6    9.3   10.5    4.4    8.8   0.57    6.5    1.8    3.9    4.8    3.7    3.9    4.8  345.1  400.5
 2016 331    16    0.0    9.3   10.5    4.3    8.6   0.58    2.7    1.5    2.0    2.3    0.7    2.0    2.3  243.4  400.5
 2016 332    17    0.0    9.2   10.5    4.3    8.6   0.58    4.2    2.0    3.0    3.4    1.2    3.0    3.4  283.7  400.5
 2016 333    18    0.0    9.2   10.4    4.3    8.6   0.57    8.3    0.2    3.8    5.3    2.0    3.8    5.3  368.3  400.5
 2016 334    19   11.6    9.2   10.4    4.2    8.4   0.58    6.3    1.6    3.7    4.6    3.7    3.7    4.6  692.0  400.5
 2016 335    20   10.6    9.2   10.4    4.2    8.4   0.58   10.0    3.4    6.3    7.6    6.4    6.3    7.6  596.1  400.5
 2016 336    21    0.0    9.1   10.4    4.2    8.4   0.57   12.0   -0.1    5.2    7.5    3.1    5.2    7.5  315.1  400.5
 2016 337    22    0.0    9.1   10.4    4.2    8.4   0.57    2.6    1.3    1.9    2.1    0.4    1.9    2.1  516.6  400.5
 2016 338    23    0.0    9.1   10.3    4.1    8.2   0.58    3.4    1.7    2.4    2.8    1.0    2.4    2.8  368.9  400.5
 2016 339    24    0.0    9.1   10.3    4.1    8.2   0.58    3.0   -0.8    0.9    1.6   -2.4    0.9    1.6  250.1  400.5
 2016 340    25    0.8    9.1   10.3    4.1    8.2   0.57    2.0   -1.4    0.1    0.7   -2.3    0.1    0.7  175.8  400.5
 2016 341    26    3.0    9.1   10.3    4.1    8.2   0.57    0.6   -1.1   -0.4    0.0   -0.9   -0.4    0.0  250.1  400.5
 2016 342    27    0.3    9.0   10.3    4.0    8.0   0.58    0.0   -1.6   -0.9   -0.6   -0.9   -0.9   -0.6  324.4  400.5
 2016 343    28    0.3    9.0   10.3    4.0    8.0   0.58    0.0   -1.6   -0.9   -0.6   -0.9   -0.9   -0.6  324.4  400.5
 2016 344    29    0.0    9.0   10.3    4.0    8.0   0.58    0.0   -9.8   -5.5   -3.7   -9.2   -5.5   -3.7  594.2  400.5
 2016 345    30    0.1    9.0   10.2    4.0    8.0   0.57    0.0   -9.1   -5.1   -3.4   -9.0   -5.1   -3.4  499.7  400.5
