*GROWTH ASPECTS OUTPUT FILE

*RUN   1        :  DRYLAND - 0 KG N/HA     
 MODEL          : CRGRO020 - BAHIA     
 EXPERIMENT     : ALTH5601 G0     ALTH5601G0 BAHIA ON GREENVILLE FINE SANDY LOAM
 TREATMENT  1   :  DRYLAND - 0 KG N/HA     

@YEAR DOY   DAS   DAP  L#SD  GSTD  LAID  LWAD  SWAD  GWAD  RWAD  CWAD  G#AD   GWGD  HIAD  PWAD  P#AD  WSPD  WSGD  NSTD  LN%D  SH%D  HIPD  PWDD  PWTD  SLAD  CHTD  CWID  NWAD  RDPD  RL1D  RL2D  RL3D  RL4D  RL5D  RL6D  RL7D  RL8D  RL9D  RL10   CDAD   LDAD   SDAD
 1956 070    31     0   0.0     0  0.00     0     0     0     0     0     0    0.0 0.000     0     0 0.000 0.000 0.000  0.00  0.00  0.00     0     0  92.6  0.00  0.00   0.0  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00      0      0      0
 1956 074    35     4   0.0     0  0.00     0     0     0     0     0     0    0.0 0.000     0     0 0.000 0.000 0.000  0.00  0.00  0.00     0     0  92.6  0.00  0.00   0.0  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00      0      0      0
 1956 081    42    11   0.0     0  0.06    65    65     0    32   130     0    0.0 0.000     0     0 0.000 0.000 0.000  2.24  0.00  0.00     0     0  94.7  0.03  0.03   0.0  0.26  0.10  0.10  0.06  0.00  0.00  0.00  0.00  0.00  0.00  0.00      0      0      0
 1956 088    49    18   0.2     0  0.09    77    76     0    38   153     0    0.0 0.000     0     0 0.000 0.000 0.037  2.18  0.00  0.00     0     0 112.3  0.03  0.03   0.0  0.30  0.09  0.12  0.08  0.00  0.00  0.00  0.00  0.00  0.00  0.00      0      0      0
 1956 095    56    25   0.5     0  0.14    98    97     0    54   196     0    0.0 0.000     0     0 0.000 0.000 0.000  2.20  0.00  0.00     0     0 139.0  0.04  0.04   0.0  0.34  0.10  0.18  0.11  0.00  0.00  0.00  0.00  0.00  0.00  0.00      0      0      0
 1956 102    63    32   0.7     0  0.19   118   116     0    62   235     0    0.0 0.000     0     0 0.000 0.000 0.000  2.22  0.00  0.00     0     0 159.3  0.05  0.04   0.0  0.37  0.12  0.22  0.10  0.01  0.00  0.00  0.00  0.00  0.00  0.00      0      0      0
 1956 109    70    39   1.0     0  0.25   150   147     0    99   297     0    0.0 0.000     0     0 0.000 0.000 0.000  2.16  0.00  0.00     0     0 169.8  0.06  0.05   0.0  0.40  0.13  0.35  0.16  0.02  0.00  0.00  0.00  0.00  0.00  0.00      0      0      0
 1956 116    77    46   1.1     0  0.33   185   183     0   134   368     0    0.0 0.000     0     0 0.000 0.000 0.143  2.01  0.00  0.00     0     0 178.3  0.06  0.06   0.0  0.44  0.12  0.46  0.23  0.05  0.00  0.00  0.00  0.00  0.00  0.00      2      1      1
 1956 123    84    53   1.6     0  0.43   256   252     0   274   508     0    0.0 0.000     0     0 0.000 0.000 0.394  1.47  0.00  0.00     0     0 167.1  0.08  0.07   0.0  0.51  0.10  0.88  0.51  0.18  0.02  0.00  0.00  0.00  0.00  0.00      8      5      3
 1956 130    91    60   2.0     0  0.58   309   306     0   314   615     0    0.0 0.000     0     0 0.000 0.000 0.285  1.43  0.00  0.00     0     0 188.9  0.10  0.09   0.0  0.58  0.24  0.97  0.51  0.20  0.04  0.00  0.00  0.00  0.00  0.00     13      9      4
