DAY HR   LAT     LON     DEP       CON
184 10 36.00 -86.80 0.88E+01 0.044    
184 10 36.05 -86.80 0.13E+01 0.0065    
184 10 36.10 -86.80 0.88E-01 5.4E-4    
184 10 36.15 -86.80 0.13E-02 3.9E-6    
184 10 36.00 -86.75 0.25E+01 0.014    
184 10 36.05 -86.75 0.27E+01 0.016    
184 10 36.10 -86.75 0.42E+00 0.0024    
184 10 36.15 -86.75 0.11E+00 6.7E-4    
184 10 36.20 -86.75 0.18E-01 9.4E-5    
184 10 36.25 -86.75 0.11E-02 4.5E-6    
184 10 36.30 -86.75 0.40E-04 0.0    
184 10 35.95 -86.70 0.60E-01 1.9E-4    
184 10 36.00 -86.70 0.48E+00 0.0029    
184 10 36.05 -86.70 0.12E+01 0.0067    
184 10 36.10 -86.70 0.36E+00 0.002    
184 10 36.15 -86.70 0.11E+00 7.5E-4    
184 10 36.20 -86.70 0.48E-01 2.3E-4    
184 10 36.25 -86.70 0.21E-01 1.4E-4    
184 10 36.30 -86.70 0.31E-02 1.4E-5    
184 10 36.35 -86.70 0.85E-04 9.4E-7    
184 10 35.95 -86.65 0.12E+00 5.3E-4    
184 10 36.00 -86.65 0.24E+00 0.0011    
184 10 36.05 -86.65 0.26E+00 0.0013    
184 10 36.10 -86.65 0.52E+00 0.0026    
184 10 36.15 -86.65 0.11E+00 6.8E-4    
184 10 36.20 -86.65 0.26E-01 1.7E-4    
184 10 36.25 -86.65 0.15E-01 1.4E-4    
184 10 36.30 -86.65 0.10E-01 7.3E-5    
184 10 36.35 -86.65 0.28E-02 1.7E-5    
184 10 36.40 -86.65 0.25E-03 2.3E-6    
184 10 35.90 -86.60 0.14E-01 3.4E-5    
184 10 35.95 -86.60 0.14E+00 6.5E-4    
184 10 36.00 -86.60 0.14E+00 7.1E-4    
184 10 36.05 -86.60 0.11E+00 6.0E-4    
184 10 36.10 -86.60 0.27E+00 0.0012    
184 10 36.15 -86.60 0.20E+00 7.5E-4    
184 10 36.20 -86.60 0.30E-01 2.3E-4    
184 10 36.25 -86.60 0.17E-01 1.0E-4    
184 10 36.30 -86.60 0.17E-01 1.8E-4    
184 10 36.35 -86.60 0.24E-02 1.5E-5    
184 10 36.40 -86.60 0.83E-03 5.9E-6    
184 10 36.45 -86.60 0.27E-03 1.5E-6    
184 10 35.85 -86.55 0.16E-02 7.5E-6    
184 10 35.90 -86.55 0.32E-01 6.3E-5    
184 10 35.95 -86.55 0.76E-01 3.2E-4    
184 10 36.00 -86.55 0.78E-01 3.1E-4    
184 10 36.05 -86.55 0.70E-01 4.3E-4    
184 10 36.10 -86.55 0.12E+00 6.8E-4    
184 10 36.15 -86.55 0.20E+00 9.3E-4    
184 10 36.20 -86.55 0.97E-01 4.7E-4    
184 10 36.25 -86.55 0.13E-01 1.2E-4    
184 10 36.30 -86.55 0.92E-02 7.6E-5    
184 10 36.35 -86.55 0.90E-02 1.1E-4    
184 10 36.40 -86.55 0.76E-03 3.6E-6    
184 10 36.45 -86.55 0.45E-03 2.5E-6    
184 10 36.50 -86.55 0.33E-04 1.3E-8    
184 10 35.85 -86.50 0.17E-03 0.0    
184 10 35.90 -86.50 0.25E-01 1.4E-4    
184 10 35.95 -86.50 0.73E-01 4.2E-4    
184 10 36.00 -86.50 0.49E-01 2.2E-4    
184 10 36.05 -86.50 0.39E-01 1.7E-4    
184 10 36.10 -86.50 0.48E-01 2.0E-4    
184 10 36.15 -86.50 0.91E-01 4.0E-4    
184 10 36.20 -86.50 0.13E+00 7.1E-4    
184 10 36.25 -86.50 0.33E-01 1.6E-4    
184 10 36.30 -86.50 0.68E-02 5.2E-5    
184 10 36.35 -86.50 0.20E-02 1.5E-5    
184 10 36.40 -86.50 0.27E-02 7.1E-6    
184 10 36.45 -86.50 0.12E-03 4.1E-7    
184 10 36.50 -86.50 0.10E-03 9.0E-7    
184 10 36.55 -86.50 0.21E-06 2.0E-9    
